rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
45,"spotify:track:2WQ09wqQBIOor7Q0VpIDBK","Black Eyed Peas","Rock That Body","Interscope",45,62,5,"115854"
46,"spotify:track:21IYMdzTrzSe191Cy5eMap","Gigi Perez","Sailor Song","Outtahere, LLC / Island Records",9,44,48,"114770"
47,"spotify:track:488IBZgAqHQmUDjg9kTQYG","LBI利比","烂片剧情","成都昌禾文化发展有限公司",15,40,15,"114525"
48,"spotify:track:1tMRh8jiYlmatpVeWWesCe","Alex Warren, ROSÉ","On My Mind","Atlantic Records",48,49,2,"112943"
49,"spotify:track:5RdKO1lsHG9jhbG03LL7cv","Jin","With the Clouds","BIGHIT MUSIC",27,46,8,"110052"
50,"spotify:track:4WrkJNGb4zUwARc0FD3iNf","Jin, YENA","Loser (feat. YENA)","BIGHIT MUSIC",26,47,8,"109169"
51,"spotify:track:1qmcc6IRvBdhmqhLhSaJoo","Jin","Background","BIGHIT MUSIC",27,48,8,"108032"
52,"spotify:track:5PCOOngROV9jWsUViSy4Ed","j-hope, GloRilla","Killin' It Girl (feat. GloRilla)","BIGHIT MUSIC",23,38,4,"107660"
53,"spotify:track:5566hAPt0WmMPr9Xn749L7","Jin","Rope It","BIGHIT MUSIC",25,52,8,"105058"
54,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,53,65,"101207"
55,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",23,60,37,"100327"
56,"spotify:track:3f7rVNaBNocDLtPmnds9eE","Jin","To Me, Today","BIGHIT MUSIC",32,56,8,"99491"
57,"spotify:track:6GyUt7yJ0sOktc5HjvVnFh","Firdhaus, DIOR 大穎","在加納共和國離婚","Loolala Music (M) Sdn Bhd",20,57,65,"98711"
58,"spotify:track:0zXGUUy3TtLH9Oo0FRgbB8","BABYMONSTER","HOT SAUCE","YG Entertainment",58,-1,1,"98550"
59,"spotify:track:0QCIpQV3twfqo9kh0t8Zza","MOLIY, Silent Addy, Skillibeng, Shenseea","Shake It To The Max (FLY) - Remix","WONDERGIRL LLC",28,59,9,"97745"
60,"spotify:track:3AJwUDP919kvQ9QcozQPxg","Coldplay","Yellow","Parlophone UK",1,68,280,"97451"
61,"spotify:track:2fuYa3Lx06QQJAm0MjztKr","Radiohead","Let Down","XL Recordings",61,82,6,"96970"
62,"spotify:track:142PiXzA84lmEw2RstFHFa","Ariana Grande","supernatural","Republic Records",23,66,18,"95836"
63,"spotify:track:16pwdMR8RIzdDSHtPv6Qpt","刘宇宁, 姚晓棠","座位 - Live","浙江卫视",63,64,6,"94494"
64,"spotify:track:0bxPRWprUVpQK0UFcddkrA","Kehlani","Folded","TSNMI / Atlantic",64,74,4,"94457"
65,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",6,63,107,"93539"
66,"spotify:track:2St2hvEaab5swGb99I3wix","ALLDAY PROJECT","FAMOUS","THEBLACKLABEL",39,39,3,"93372"
67,"spotify:track:5tlb0AxuzsMWL2GtEppXGX","Cup of Joe","Multo","Viva Records",38,61,13,"92763"
68,"spotify:track:1z5ebC9238uGoBgzYyvGpQ","ROSÉ","toxic till the end","Atlantic Records",4,84,31,"92745"
69,"spotify:track:1fDFHXcykq4iw8Gg7s5hG9","The 1975","About You","Dirty Hit",43,71,109,"92132"
70,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",69,78,46,"92039"
71,"spotify:track:1edcyazKIdKrIuz9cWpXU6","Ariana Grande","twilight zone","Republic Records",6,54,15,"91572"
72,"spotify:track:16nFpuPZAKcXg84rssagIc","ALLDAY PROJECT","WICKED","THEBLACKLABEL",72,75,2,"90331"
73,"spotify:track:1vfUASvUGt3gxQ1x3T3u1C","en","嚣张","嗨库文化",24,65,267,"89903"
74,"spotify:track:3AKYofM0vFekNthGbpjMpN","ZQS","这是你期盼的长大吗","鲸鱼向海",42,67,62,"89884"
75,"spotify:track:2ipIPsgrgd0j2beDf4Ki70","Benson Boone","Mystical Magical","Night Street Records, Inc./Warner Records Inc.",57,69,10,"89499"
76,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",1,85,151,"89287"
77,"spotify:track:6RUKPb4LETWmmr3iAEQktW","The Chainsmokers, Coldplay","Something Just Like This","Disruptor Records/Columbia",1,55,438,"86860"
78,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,77,93,"86835"
79,"spotify:track:3t5edAHbyFEW67wFApp7EO","小阿七","从前说","一寸光年",21,100,177,"86106"
80,"spotify:track:2aL4lMGhWdPpyPL6COPou7","keshi","Soft Spot","Island Records",10,73,43,"85900"
81,"spotify:track:4s3iUkYgh9gCeGYqCODrQe","于冬然","座位","海神音乐",81,94,5,"84937"
82,"spotify:track:6aJn7Cst74cj4lNIiPRgav","KATSEYE","Touch","HYBE/Geffen",7,104,43,"84728"
83,"spotify:track:0dS2u2UFd88TIzDDaZDLvS","d4vd","Here With Me","Darkroom/Interscope Records",5,80,145,"83808"
84,"spotify:track:7o3xJRQhpHRZ6IbyQX2xrp","sombr","we never dated","Warner Records",58,58,3,"83746"
