rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
96,"spotify:track:1wsDxqEDpsvNCatbXHjOje","Tito Double P","BLANCA ROSITA Y MARIA","2024 Double P Records",20,90,29,"2017138"
97,"spotify:track:1C84d9abZVKWHT2YYpoean","Luis R Conriquez, Neton Vega","Si No Quieres No","Kartel Music",1,69,56,"2013335"
98,"spotify:track:6Z7f0BXDLI8k4CHR9KJdAD","La Arrolladora Banda El Limón De Rene Camacho","Mi Segunda Vida","UMLE - Disa",79,104,30,"1998575"
99,"spotify:track:6TBzRwnX2oYd8aOrOuyK1p","Oscar Maydon, Junior H","Fin de Semana","Rancho Humilde",4,111,104,"1997127"
100,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",33,77,25,"1989636"
101,"spotify:track:6YOfGIE6iFxC7G8OlGGvzW","Junior H","ROCKSTAR","WEA Latina",7,108,79,"1977441"
102,"spotify:track:3KZCP2StVGdWkOKyRZNWA4","Plan B","Es un Secreto","Pina Records",34,110,161,"1955576"
103,"spotify:track:4bw8mcDUSRWfQo63ZTYRnU","Maluma, Carín León","Según Quién","Sony Music Latin",6,98,86,"1952635"
104,"spotify:track:3UIENhLRdFIOuRan92cAQu","Duncan Dhu","En algún lugar","DRO/EastWest Spain",81,94,38,"1949706"
105,"spotify:track:7AysIqSEDiwP4CUsAXJwrk","Tito Double P, Natanael Cano","PRIMO","2024 Double P Records",11,87,40,"1947666"
106,"spotify:track:4Nf5EZ40JenjMUKXOiyRU5","Peso Pluma","NUEVA VIDA","Double P Records",35,118,94,"1944672"
107,"spotify:track:22znRIyi8hIkD07fsAwo7i","Calle 24, Fuerza Regida, Chino Pacas","ULTIMAMENTE","WEA Latina",87,101,11,"1920693"
108,"spotify:track:3uU6dqBjVKRTPis0RrTaT4","Shakira","Las de la Intuición","Epic",82,82,4,"1894016"
109,"spotify:track:3qGkFQOEJ0w0SqnAXFeG2v","La Adictiva","Después de Ti, ¿Quién?","Sony Music Latin",76,85,46,"1893092"
110,"spotify:track:2esZG2XFtuoWWA9AfDvSxy","FloyyMenor, Cris MJ","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",3,139,61,"1887861"
111,"spotify:track:0hkoQgoqic1qQtxPOudmrx","emmanuellcortess_","Amor","RC Music",20,97,44,"1883739"
112,"spotify:track:61vlMpyFxXmxvahvA7Bi3z","Calle 24, Chino Pacas, Fuerza Regida","QUE ONDA","WEA Latina",1,129,84,"1847289"
113,"spotify:track:2CEf2gU5ZJamLXa3NrgAvA","Rauw Alejandro","Desenfocao'","Sony Music Latin/Duars Entertainment",113,135,11,"1841379"
114,"spotify:track:6CRRlfXDdhsL6vih3J5xco","Alfredo Olivas","En Definitiva","Camiolvi",78,151,150,"1835720"
115,"spotify:track:29vIEdxgMT9H1fnBMecWjA","Julión Álvarez y su Norteño Banda","Lo Tienes Todo","UMLE - Fonovisa",15,114,72,"1825857"
116,"spotify:track:09aZzS1QTGtrBx4Ys0xIRr","La Arrolladora Banda El Limón De Rene Camacho","Secretos De Mi Memoria","La Sierra Records",116,148,10,"1816956"
117,"spotify:track:3fJHbMUnzceimOnNjp63fF","Carín León","Primera Cita","Socios Music, LLC",2,145,102,"1811801"
118,"spotify:track:25VVwcwK5OKa4XMsVmsmJ0","La Arrolladora Banda El Limón De Rene Camacho","Aquí Hay Para Llevar","Disa",81,109,20,"1809155"
119,"spotify:track:64my6WOkrygcpXKMLxxpi9","La Arrolladora Banda El Limón De Rene Camacho","Ya Es Muy Tarde","Universal Music Mexico",81,124,37,"1799361"
120,"spotify:track:3HgvO4B5LLmdPOT2d8cSZd","LAGOS, Danny Ocean","Mónaco","WM Mexico",12,189,193,"1778779"
121,"spotify:track:54AkMJKLhLmw8lQTYiLh8g","Tombochio, Clase Personal","Patrullon","Rancho Humilde/ DKid Records",121,-1,1,"1764941"
122,"spotify:track:7ricDBUakN3N0YkkKE8Obu","Beéle, Ovy On The Drums","mi refe","5020 Records",105,120,12,"1757522"
123,"spotify:track:7xJ1scIZpc33lZ7HpcrjCY","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",5,127,45,"1752905"
124,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,174,129,"1725170"
125,"spotify:track:4ZplewvZRLFcfBa5uyBbhd","Cardenales De Nuevo León","Belleza De Cantina","Universal Music Mexico",43,128,256,"1721892"
126,"spotify:track:5mB0MGsRfKZALHrXjnktCK","Caifanes","La Célula Que Explota","RCA Records Label",125,125,56,"1721547"
127,"spotify:track:3p2KYoBgxUaaoJzXUToM8a","Cartel De Santa","Todas Mueren por Mí","Ariola",78,194,66,"1719701"
128,"spotify:track:75UMtPC77vqKRwfSuYuNPO","Kevin Kaarl","San Lucas","Kevin Kaarl",8,130,86,"1713819"
129,"spotify:track:6G4U9avyBNEfP0fAIduev3","Aventura, Don Omar","Ella Y Yo - Featuring Don Omar","Premium Latin Music",99,106,7,"1710528"
130,"spotify:track:3w1h7uNU1Dfk2tOaHiIGat","Fuerza Regida","PERO NO TE ENAMORES","Rancho Humilde/Street Mob Records",40,156,35,"1707041"
131,"spotify:track:6yewQdtbXlYQNZUS5b43D9","Los Alegres Del Barranco","El Doble R","Los Alegres Del Barranco Corp.",131,158,2,"1706111"
132,"spotify:track:0O3U5iwTbiXCREMkvotJuN","Grupo Frontera, Grupo Firme","EL AMOR DE SU VIDA","BorderTown Records",5,140,88,"1702027"
133,"spotify:track:0wQCKR9OFjYu5Kzrk7WivJ","Alejandro Sanz","Corazón partío","WM Spain",133,-1,4,"1696990"
134,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",77,133,15,"1696114"
135,"spotify:track:3OJDtCdYs8QJnui708tEU3","Shakira","Soltera","Sony Music Latin",33,116,27,"1689499"
136,"spotify:track:2CshODtf7iwe3pKlPmEWF5","Junior H","TRES BOTELLAS","WEA Latina",26,167,79,"1685534"
137,"spotify:track:6uCZqv78d015paeHFUOUlI","Grupo Arriesgado","Ansiedad","GA Music",105,123,7,"1684395"
138,"spotify:track:179TZwPk0txEvjkraVTVKo","Alfredo Olivas","El Precio De La Soledad","Camiolvi",42,126,135,"1684132"
139,"spotify:track:1l77YWrGUp3qX3NS1rz7lq","Banda MS de Sergio Lizárraga","El Color de Tus Ojos","Lizos Music",24,182,296,"1683103"
140,"spotify:track:1uGUbgZuO1kD1JZ0UeFupN","Grupo Frontera","Hecha Pa' Mí","BorderTown Records",24,138,27,"1681206"
141,"spotify:track:0SRddBTphQwQcfqw4Br1uX","León Larregui","Brillas","EMI México",43,134,422,"1678547"
