rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year
1,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,1,1,31,3191614,AR,Argentina,Q1,2023
2,spotify:track:0NO2zL0kw8sGGnaMvHKAZF,"Cris MJ, Duki, Nicki Nicole, Standly, Stars Music Chile",Marisola (Remix),Stars Music Chile 2024,2,2,4,3178042,AR,Argentina,Q1,2023
3,spotify:track:6jRZ33ifS5VOTMwmPxhPhN,"Luck Ra, La K'onga, Ke Personajes",Ya No Vuelvas (Versión Cuarteto),Sony Music Entertainment Chile S.A,3,4,6,3100049,AR,Argentina,Q1,2023
4,spotify:track:4J1vAbtAhMdsdpO1sKU3EO,La T y La M,Pa' la Selección,GraceMusic,3,3,4,2871162,AR,Argentina,Q1,2023
5,spotify:track:0oBtwScT4B4BR5kZitNWd5,Quevedo,PUNTO G,Rimas Entertainment LLC.,5,8,10,2606758,AR,Argentina,Q1,2023
6,spotify:track:4qXWX3OmEKp0YCnnxJqTMO,"La Joaqui, Salastkbron, Gusty dj",Dos Besitos,DALE PLAY Records / GOAT Records,2,5,11,2528741,AR,Argentina,Q1,2023
7,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52/66",DALE PLAY Records,1,7,28,2382116,AR,Argentina,Q1,2023
8,spotify:track:45dlaEXrXW47TVbrQ4gK7E,"Rei, Callejero Fino",Tu Turrito,DALE PLAY Records,2,6,36,2222175,AR,Argentina,Q1,2023
9,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,8,14,13,2046787,AR,Argentina,Q1,2023
10,spotify:track:60DHrnRAhNJMy4WeEf23NH,"La Joaqui, Alan Gomez, EL NOBA",Butakera,DALE PLAY Records / GOAT Records,6,9,23,2041246,AR,Argentina,Q1,2023
11,spotify:track:0W3TCDzYM7xFrZSaXnQvs4,"YSY A, SPONSOR DIOS, Evlay",CÓMO CHILLA ELLA,SPONSOR DIOS,2,10,9,2027868,AR,Argentina,Q1,2023
12,spotify:track:2x8oBuYaObjqHqgGuIUZ0b,WOS,ARRANCÁRMELO,DOGUITO Records / DALE PLAY Records,2,13,41,2014969,AR,Argentina,Q1,2023
13,spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Columbia,3,11,24,1912791,AR,Argentina,Q1,2023
14,spotify:track:3fUZbg31mIJKIxuv8nUcGg,"DJ Tao, Callejero Fino",CALLEJERO FINO | DJ TAO Turreo Sessions #723,WM Chile,10,12,12,1893941,AR,Argentina,Q1,2023
15,spotify:track:7iwJOi3hlMqZt6pj1sQOBj,Quevedo,VISTA AL MAR,Rimas Entertainment LLC.,10,17,18,1780367,AR,Argentina,Q1,2023
16,spotify:track:3N6rAKpPraBOZqn9RhSrz0,"DJ Alex, La Joaqui","DJ ALEX, LA JOAQUI - TU AMOR | E7",DJ ALEX bajo licencia a DALE PLAY,10,15,16,1738873,AR,Argentina,Q1,2023
17,spotify:track:7kYbxvrGXv8cmKjkqgqhrw,TINI,La Triple T,Sony Music Latin,1,16,36,1671197,AR,Argentina,Q1,2023
18,spotify:track:6OzUIp8KjuwxJnCWkXp1uL,"Wisin & Yandel, ROSALÍA",Besos Moja2,Sony Music Latin,8,18,15,1571542,AR,Argentina,Q1,2023
19,spotify:track:5rGorQ0R06XveTJXMd3QRi,"Rusherking, Dread Mar I",Perfecta,Rusherking,5,20,15,1553978,AR,Argentina,Q1,2023
20,spotify:track:2GVahxIzxivfRZc8lR39Ms,"Rei, Quevedo",FERNET,DALE PLAY Records,7,19,32,1532397,AR,Argentina,Q1,2023
21,spotify:track:1eIDsKCLwZF6CJK8pOgHX5,"BM, Phontana",M.A (Mejores Amigos),Wesaisons Records,21,45,10,1469349,AR,Argentina,Q1,2023
22,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53/66",DALE PLAY Records,22,-1,1,1462926,AR,Argentina,Q1,2023
23,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,21,36,1443412,AR,Argentina,Q1,2023
24,spotify:track:0poQY3RMThmIiutOGv3yH3,Maria Becerra,AUTOMÁTICO,300 Entertainment,4,26,18,1407827,AR,Argentina,Q1,2023
25,spotify:track:0Dl34Kegtc0y0m0oPhQfiI,Maria Becerra,LA NENA DE ARGENTINA,300 Entertainment,22,31,5,1372481,AR,Argentina,Q1,2023
26,spotify:track:6G12ZafqofSq7YtrMqUm76,"Shakira, Ozuna",Monotonía,Sony Music Latin,9,28,12,1372298,AR,Argentina,Q1,2023
27,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",La Jumpa,Rimas Entertainment LLC.,27,33,6,1350405,AR,Argentina,Q1,2023
28,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,1,25,36,1316473,AR,Argentina,Q1,2023
29,spotify:track:3fjN3y5x4hN53rykAN2LHQ,Rels B,cómo dormiste?,DALE PLAY Records / Flakk Team,4,30,23,1313120,AR,Argentina,Q1,2023
30,spotify:track:3eUtQSdde3wNmXOW2OESKi,"El Polaco, La China",Ya No Quiero Verte,Columbia,23,23,11,1293627,AR,Argentina,Q1,2023
31,spotify:track:6LBpjWMfy1NUfyxAJbcMRs,"La K'onga, Nahuel Pennisi",Universo Paralelo,Leader Music,2,22,61,1276512,AR,Argentina,Q1,2023
32,spotify:track:6nYyGlTP5L2R6SEd1xG8Xs,El negro tecla,Rompe,Warner Music Group - X5 Music Group,32,39,20,1213251,AR,Argentina,Q1,2023
33,spotify:track:3EcCc1U405tm8yKm1x6Y8W,La K'onga,Te Mentiría,Leader Music,14,24,86,1188762,AR,Argentina,Q1,2023
34,spotify:track:12BLBKATlbWXPhuSNL8eAr,"Alan Gomez, Callejero Fino",CALLEJERO FINO | Mission 10,WM Chile,6,29,19,1176967,AR,Argentina,Q1,2023
35,spotify:track:1fKFxmSByZfjwVSbq0PHye,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,Ke Personajes,29,32,70,1164813,AR,Argentina,Q1,2023
36,spotify:track:54ELExv56KCAB4UP9cOCzC,"Ñengo Flow, Bad Bunny",Gato de Noche,Rimas Entertainment LLC,36,48,3,1151395,AR,Argentina,Q1,2023
37,spotify:track:5w8dx6u3KGawHWZAJoqyKM,"YSY A, SPONSOR DIOS, ONIRIA",A POR TODO,SPONSOR DIOS,6,34,9,1094919,AR,Argentina,Q1,2023
38,spotify:track:2ALRaYszX1wDifP6HrcdqS,"Gusty dj, ECKO",Gusty DJ | Ecko - Session en el Barrio #7,GUSTY DJ,38,49,4,1042295,AR,Argentina,Q1,2023
39,spotify:track:79d6fVzRM6DRYxR302AJFY,La Mosca,"Muchachos, Ahora Nos Volvimos a Ilusionar",Sony Music Argentina,1,27,7,970135,AR,Argentina,Q1,2023
