rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year,source_file
1,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capó, Farruko",Calma - Remix,Sony Music Latin,1,2,10,2506857,AR,Argentina,Q1,2019,merged_data_2019.csv
2,spotify:track:6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva,WEA Latina,1,1,10,2451964,AR,Argentina,Q1,2019,merged_data_2019.csv
3,spotify:track:5lcL51XmmTrQy09H85wIJZ,DJ Alex,Leña para el Carbón,DJ Alex,3,3,5,1709216,AR,Argentina,Q1,2019,merged_data_2019.csv
4,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA,Rimas Entertainment LLC,2,5,13,1427528,AR,Argentina,Q1,2019,merged_data_2019.csv
5,spotify:track:3dLiBBKbeUIhzGNeuo5JGS,"Duki, DrefQuila",Sin Culpa (feat.DrefQuila),SSJ Records / DALE PLAY Records,5,6,5,1389999,AR,Argentina,Q1,2019,merged_data_2019.csv
6,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1,4,15,1378374,AR,Argentina,Q1,2019,merged_data_2019.csv
7,spotify:track:2XXMDz7SPZ4mSFN1PXfHUy,"Becky G, Paulo Londra",Cuando Te Besé,Sony Music Latin,1,7,23,1245245,AR,Argentina,Q1,2019,merged_data_2019.csv
8,spotify:track:6MJUCumnQsQEKbCy28tbCP,"Daddy Yankee, Anuel AA",Adictiva,Craft Latino,8,12,9,1215592,AR,Argentina,Q1,2019,merged_data_2019.csv
9,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,J Balvin,Reggaeton,UMLE - Latino,9,11,8,1183089,AR,Argentina,Q1,2019,merged_data_2019.csv
10,spotify:track:22sESxzbY1O1E19xjOTaYf,Rombai,Me Voy,Sony Music Latin,8,10,15,1172761,AR,Argentina,Q1,2019,merged_data_2019.csv
11,spotify:track:7uQmJ1jgNzBpATSoWKSPFu,"Sebastian Yatra, Mau y Ricky",Ya No Tiene Novio,UMLE - Latino,4,9,22,1150556,AR,Argentina,Q1,2019,merged_data_2019.csv
12,spotify:track:0s5DNDV6LAKn2u2Ufa3VjQ,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,Sony Music Latin,12,13,12,1121985,AR,Argentina,Q1,2019,merged_data_2019.csv
13,spotify:track:3CACzG9I3AoKUKA3ODE5zW,"Damas Gratis, Viru Kumbieron",Me Vas a Extrañar - En Vivo,Pelo Music S.A.,4,8,18,1053533,AR,Argentina,Q1,2019,merged_data_2019.csv
14,spotify:track:48zFZh27QU5qsrBjn4C2FA,"Ozuna, Manuel Turizo",Vaina Loca,VP Records Corp/Dimelo Vi,2,14,28,929835,AR,Argentina,Q1,2019,merged_data_2019.csv
15,spotify:track:3ao3OVxHlb3C08vAaApUlm,"Luis Fonsi, Ozuna",Imposible,UMLE - Latino,13,16,12,918990,AR,Argentina,Q1,2019,merged_data_2019.csv
16,spotify:track:2cYnZNzFRFK0H7vSNxPsUq,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix,"Real Hasta La Muerte, LLC",15,17,10,880961,AR,Argentina,Q1,2019,merged_data_2019.csv
17,spotify:track:2zDj4WjbNDmrRL6Z4YjjCA,"Reik, Maluma",Amigos Con Derechos,Columbia,9,18,19,813717,AR,Argentina,Q1,2019,merged_data_2019.csv
18,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,"Anuel AA, Haze",Amanece,House of Haze,18,21,4,790947,AR,Argentina,Q1,2019,merged_data_2019.csv
19,spotify:track:7dNwJbsT0sg1le5kVugGJb,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",Bubalu,Hear This Music,19,22,9,750601,AR,Argentina,Q1,2019,merged_data_2019.csv
20,spotify:track:4KkUjFkcQvGvWekl8RATDn,"6ix9ine, Anuel AA",BEBE (feat. Anuel AA),"ScumGang Records / TenThousand Projects, LLC",8,19,19,742774,AR,Argentina,Q1,2019,merged_data_2019.csv
21,spotify:track:3trowLiYwwOoiwapLISNyk,"Damas Gratis, Viru Kumbieron",No Te Creas Tan Importante - En Vivo,Pelo Music S.A.,10,15,41,726972,AR,Argentina,Q1,2019,merged_data_2019.csv
22,spotify:track:04cd1MHVq1D8v1nuTZoCdv,Piso 21,Puntos Suspensivos,WM Mexico,22,24,15,708054,AR,Argentina,Q1,2019,merged_data_2019.csv
23,spotify:track:62o8KoI44JfN7aYxgTnPvh,Maluma,Mala Mía,Sony Music Latin,8,20,22,658146,AR,Argentina,Q1,2019,merged_data_2019.csv
24,spotify:track:7zAGi1cps7yYhAajGXlFTH,Paulo Londra,Chica Paranormal,WEA Latina,3,23,25,650903,AR,Argentina,Q1,2019,merged_data_2019.csv
25,spotify:track:43Q1jBoHh3pQkh3Oy7TA1g,"LIT killah, Agus Padilla",Tan Bien,WM Argentina,23,25,6,616612,AR,Argentina,Q1,2019,merged_data_2019.csv
26,spotify:track:4uP3pUP18ennmz0tb3GphR,Bad Bunny,Solo de Mi,Rimas Entertainment LLC,26,26,4,613116,AR,Argentina,Q1,2019,merged_data_2019.csv
27,spotify:track:1DcxnVNFAyVl2sDQ646pXS,KEVIN ROLDAN,PPP,UMLE - Latino,27,27,16,612324,AR,Argentina,Q1,2019,merged_data_2019.csv
28,spotify:track:0mAkTqg7vQ8YmpQ7o1I6gR,Duki,Lebron,DALE PLAY Records,28,147,2,569294,AR,Argentina,Q1,2019,merged_data_2019.csv
29,spotify:track:1mT47pKLXUwPYGwB91GcNz,"KAROL G, Maluma",Créeme,UMLE - Latino,29,34,10,550282,AR,Argentina,Q1,2019,merged_data_2019.csv
30,spotify:track:5qFeMRz4TvetPmzjre9Dq7,"J Balvin, Zion & Lennox",No Es Justo,UMLE - Latino,5,28,34,516389,AR,Argentina,Q1,2019,merged_data_2019.csv
31,spotify:track:6q8Lb50EtqNeeJXXe8mMAH,"KAROL G, Anuel AA",Culpables,UMLE - Latino,21,32,17,503581,AR,Argentina,Q1,2019,merged_data_2019.csv
32,spotify:track:3V8UKqhEK5zBkBb6d6ub8i,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",Te Boté - Remix,"Flow La Movie, Inc.",1,29,39,497075,AR,Argentina,Q1,2019,merged_data_2019.csv
33,spotify:track:2ijef6ni2amuunRoKTlgww,"Becky G, NATTI NATASHA",Sin Pijama,Sony Music Latin,1,30,38,458946,AR,Argentina,Q1,2019,merged_data_2019.csv
34,spotify:track:1G586ld1gbaECg4Bc6w40O,"Thalia, NATTI NATASHA",No Me Acuerdo,Sony Music Latin,14,31,32,457066,AR,Argentina,Q1,2019,merged_data_2019.csv
35,spotify:track:59PYgzOiOjGDzjDT5N5oOX,"Brytiago, Daddy Yankee, Ozuna, Anuel AA, Darell",Asesina - Remix,Business Music,27,36,10,455441,AR,Argentina,Q1,2019,merged_data_2019.csv
36,spotify:track:5NrIX1ozc9LGt19ISgPDIY,"TINI, Sebastian Yatra",Quiero Volver,5020 Records,22,33,23,448695,AR,Argentina,Q1,2019,merged_data_2019.csv
37,spotify:track:2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next",Republic Records,23,37,10,436282,AR,Argentina,Q1,2019,merged_data_2019.csv
38,spotify:track:58qmrrvUkA09szrox83VDp,"Papichamp, ECKO",Árabe,Wapeo,22,35,23,429956,AR,Argentina,Q1,2019,merged_data_2019.csv
39,spotify:track:5VsHkOtg0Llpa6mTGZhp5e,LIT killah,Si Te Vas,WM Argentina,20,40,19,421234,AR,Argentina,Q1,2019,merged_data_2019.csv
40,spotify:track:1uARbfg2RXPtyr6sqVQUif,"C.R.O, Duki",Ella Es una G,Nocita,13,38,8,416046,AR,Argentina,Q1,2019,merged_data_2019.csv
41,spotify:track:278kSqsZIiYp8p3QjYAqa8,Bad Bunny,NI BIEN NI MAL,Rimas Entertainment LLC,41,49,3,409255,AR,Argentina,Q1,2019,merged_data_2019.csv
42,spotify:track:2aMVyJSuDFFL1sTjJnvk7X,"Paulo Londra, Lenny Tavárez",Nena Maldición (feat. Lenny Tavárez),WEA Latina,5,39,50,404893,AR,Argentina,Q1,2019,merged_data_2019.csv
43,spotify:track:4DNzemGNnckcJSr8DVk8Uj,"Duki, Leby",No Me Llores,DALE PLAY Records,8,42,22,399056,AR,Argentina,Q1,2019,merged_data_2019.csv
44,spotify:track:5Q3e16qE1RE5oilN3ukasm,"Ozuna, Lunay, Rauw Alejandro, Lyanno",Luz Apaga,VP Records Corp/Dimelo Vi,34,41,7,397304,AR,Argentina,Q1,2019,merged_data_2019.csv
45,spotify:track:3rPAD722s5FFNnwjC91t7Z,Anuel AA,Quiere Beber,"2018 Real Hasta La Muerte, Inc.",15,43,22,374993,AR,Argentina,Q1,2019,merged_data_2019.csv
46,spotify:track:675w3ACw5xZR3ODhUJlEVN,Manuel Turizo,Sola,Sony Music Latin/La Industria,46,53,7,374057,AR,Argentina,Q1,2019,merged_data_2019.csv
47,spotify:track:0TYtHWzASro5sMrV1UvpUC,ECKO,Bye,ECKO,34,45,16,359553,AR,Argentina,Q1,2019,merged_data_2019.csv
48,spotify:track:6XBjCetHKdO5L9cwMDVffw,"Anuel AA, Zion",Hipócrita,"2018 Real Hasta La Muerte, Inc.",30,47,25,358670,AR,Argentina,Q1,2019,merged_data_2019.csv
49,spotify:track:31M5m42C3EGlbydf9XB5to,"Leslie Grace, Noriel",Duro y Suave,Sony Music Latin,25,44,50,356978,AR,Argentina,Q1,2019,merged_data_2019.csv
50,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,"Maroon 5, Cardi B",Girls Like You (feat. Cardi B) - Cardi B Version,Interscope Records*,39,55,32,336357,AR,Argentina,Q1,2019,merged_data_2019.csv
1,spotify:track:224EVTFiLsdQignUFLvDeH,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí (Remix),Rich Music/Ingrooves Records,1,2,9,2221730,AR,Argentina,Q2,2019,merged_data_2019.csv
2,spotify:track:0OWcpVA83HI8Pb5DybDuoX,"Neo Pistea, C.R.O, Obie Wanshot, YSY A, Cazzu, KHEA, Lucho SSJ, Coqeéin Montana, Marcianos Crew, Duki","Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Columbia,2,3,3,2205767,AR,Argentina,Q2,2019,merged_data_2019.csv
3,spotify:track:5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow",Con Calma,Craft Latino,1,1,11,2040526,AR,Argentina,Q2,2019,merged_data_2019.csv
4,spotify:track:46lvmzK8wxAy66tjzXXSh0,Paulo Londra,Tal Vez,WEA Latina,4,82,2,1703137,AR,Argentina,Q2,2019,merged_data_2019.csv
5,spotify:track:5W83ErFkO3aKAIS1WMi6u0,"Anuel AA, KAROL G",Secreto,Anuel AA & Karol G - Secreto,2,4,13,1484871,AR,Argentina,Q2,2019,merged_data_2019.csv
6,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capó, Farruko",Calma - Remix,Sony Music Latin,1,5,23,1341189,AR,Argentina,Q2,2019,merged_data_2019.csv
7,spotify:track:6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva,WEA Latina,1,6,23,1203585,AR,Argentina,Q2,2019,merged_data_2019.csv
8,spotify:track:31UjYv5vLsDkzchJOtUMtW,Maluma,HP,Sony Music Latin,8,8,6,1135207,AR,Argentina,Q2,2019,merged_data_2019.csv
9,spotify:track:5BDP2tky8oMQJPS33frKVp,"Sebastian Yatra, Reik",Un Año,UMLE - Latino,6,9,12,1071557,AR,Argentina,Q2,2019,merged_data_2019.csv
10,spotify:track:0s5DNDV6LAKn2u2Ufa3VjQ,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,Sony Music Latin,3,7,25,1064457,AR,Argentina,Q2,2019,merged_data_2019.csv
11,spotify:track:7uH27oIt4a6cIFCA8ZPcyG,Ozuna,Baila Baila Baila,Aura Music Corp.,8,10,14,979985,AR,Argentina,Q2,2019,merged_data_2019.csv
12,spotify:track:2qG5sZ7Si6sdK74qLxedYM,"ROSALÍA, J Balvin, El Guincho",Con Altura,Columbia,12,19,2,970647,AR,Argentina,Q2,2019,merged_data_2019.csv
13,spotify:track:5NPzbTzFxIQPaheZuPhn4f,Paulo Londra,Forever Alone,WEA Latina,8,11,9,932791,AR,Argentina,Q2,2019,merged_data_2019.csv
14,spotify:track:6v0lAdFF4haL8xjBIUjtOw,"Nicky Jam, Ozuna",Te Robaré,Sony Music Latin,14,14,3,929697,AR,Argentina,Q2,2019,merged_data_2019.csv
15,spotify:track:1Kjer1JoWuJGNwGV6Pbgv1,Sebastian Yatra,Cristina,UMLE - Latino,15,18,3,910940,AR,Argentina,Q2,2019,merged_data_2019.csv
16,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,"Anuel AA, Haze",Amanece,House of Haze,10,12,17,882300,AR,Argentina,Q2,2019,merged_data_2019.csv
17,spotify:track:3dLiBBKbeUIhzGNeuo5JGS,"Duki, DrefQuila",Sin Culpa (feat.DrefQuila),SSJ Records / DALE PLAY Records,3,15,18,809488,AR,Argentina,Q2,2019,merged_data_2019.csv
18,spotify:track:059bcIhyc2SBwm6sw2AZzd,"Piso 21, Micro TDH",Te Vi,WM Mexico,15,17,15,795751,AR,Argentina,Q2,2019,merged_data_2019.csv
19,spotify:track:6MJUCumnQsQEKbCy28tbCP,"Daddy Yankee, Anuel AA",Adictiva,Craft Latino,4,13,22,788582,AR,Argentina,Q2,2019,merged_data_2019.csv
20,spotify:track:4lzxJ4jCuFDXXGkE1LmpKR,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Verte Ir,Hear This Music,20,34,2,781737,AR,Argentina,Q2,2019,merged_data_2019.csv
21,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,J Balvin,Reggaeton,UMLE - Latino,7,16,21,721330,AR,Argentina,Q2,2019,merged_data_2019.csv
22,spotify:track:3g4UyIcQwutiG0TfW32GnX,"Manuel Turizo, Ozuna",Esclavo de Tus Besos,Sony Music Latin/La Industria,21,21,8,674152,AR,Argentina,Q2,2019,merged_data_2019.csv
23,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA,Rimas Entertainment LLC,2,20,26,590822,AR,Argentina,Q2,2019,merged_data_2019.csv
24,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,15,23,12,588713,AR,Argentina,Q2,2019,merged_data_2019.csv
25,spotify:track:04cd1MHVq1D8v1nuTZoCdv,Piso 21,Puntos Suspensivos,WM Mexico,18,22,28,585248,AR,Argentina,Q2,2019,merged_data_2019.csv
26,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,26,32,2,578118,AR,Argentina,Q2,2019,merged_data_2019.csv
27,spotify:track:7kuRvjpeUcn6qNV9IBXC2C,"Cauty, Brytiago, Darell, Cosculluela, Rafa Pabön, Chencho Corleone",Ta To Gucci (Remix),"Take Over Inc./Limitless Records,LLC.",19,24,16,572382,AR,Argentina,Q2,2019,merged_data_2019.csv
28,spotify:track:2XXMDz7SPZ4mSFN1PXfHUy,"Becky G, Paulo Londra",Cuando Te Besé,Sony Music Latin,1,28,36,561014,AR,Argentina,Q2,2019,merged_data_2019.csv
29,spotify:track:2IA8cFA46DkjgbsRG7kKbp,"Amenazzy, Nicky Jam, Farruko",Baby,Rimas Music,28,29,14,555432,AR,Argentina,Q2,2019,merged_data_2019.csv
30,spotify:track:1mT47pKLXUwPYGwB91GcNz,"KAROL G, Maluma",Créeme,UMLE - Latino,26,27,23,554329,AR,Argentina,Q2,2019,merged_data_2019.csv
31,spotify:track:22sESxzbY1O1E19xjOTaYf,Rombai,Me Voy,Sony Music Latin,7,25,28,547562,AR,Argentina,Q2,2019,merged_data_2019.csv
32,spotify:track:3f5lA8nnc4YYF1qf78WpHw,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix,"Real Hasta La Muerte, LLC",15,26,23,543052,AR,Argentina,Q2,2019,merged_data_2019.csv
33,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,24,33,22,514953,AR,Argentina,Q2,2019,merged_data_2019.csv
34,spotify:track:1DcxnVNFAyVl2sDQ646pXS,KEVIN ROLDAN,PPP,UMLE - Latino,20,30,29,511836,AR,Argentina,Q2,2019,merged_data_2019.csv
35,spotify:track:6cLWKCBNawunqBHmyzdG7v,WOS,TERRAZA,PICANTE,34,36,3,499253,AR,Argentina,Q2,2019,merged_data_2019.csv
36,spotify:track:7BuHdm4lQqcyG3qTwdkxus,"Wisin & Yandel, Romeo Santos",Aullando,Sony Music Latin,36,40,8,494095,AR,Argentina,Q2,2019,merged_data_2019.csv
37,spotify:track:3JjaofJ0lCeEsFSZqppzOp,"Sean Paul, J Balvin",Contra La Pared,Universal-Island Records Ltd.,37,51,4,493233,AR,Argentina,Q2,2019,merged_data_2019.csv
38,spotify:track:4cuGZb0iFyHtwaSKdKrJkF,"Luis Fonsi, Ozuna",Imposible,UMLE - Latino,13,35,25,485796,AR,Argentina,Q2,2019,merged_data_2019.csv
39,spotify:track:3aozFlnbP7zhcJKi9O0FUz,"Modo Diablo, Duki, Neo Pistea, YSY A","TRAP.N.EXPORT (feat. Duki, Ysy A & Neo Pistea)",Modo Diablo,32,37,9,469837,AR,Argentina,Q2,2019,merged_data_2019.csv
40,spotify:track:7dNwJbsT0sg1le5kVugGJb,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",Bubalu,Hear This Music,19,38,22,467963,AR,Argentina,Q2,2019,merged_data_2019.csv
41,spotify:track:2zDj4WjbNDmrRL6Z4YjjCA,"Reik, Maluma",Amigos Con Derechos,Columbia,9,41,32,446962,AR,Argentina,Q2,2019,merged_data_2019.csv
42,spotify:track:7uQmJ1jgNzBpATSoWKSPFu,"Sebastian Yatra, Mau y Ricky",Ya No Tiene Novio,UMLE - Latino,4,31,35,441623,AR,Argentina,Q2,2019,merged_data_2019.csv
43,spotify:track:5KbBGUpIZd6gVFUU8tqYiQ,"Myke Towers, Farruko",Si Se Da,2019 Casablanca Records & One World Music | Distributed by GLAD Empire,43,54,5,436396,AR,Argentina,Q2,2019,merged_data_2019.csv
44,spotify:track:278kSqsZIiYp8p3QjYAqa8,Bad Bunny,NI BIEN NI MAL,Rimas Entertainment LLC,22,42,16,420862,AR,Argentina,Q2,2019,merged_data_2019.csv
45,spotify:track:08aYFNUTIOMGq93e2VSArQ,"Rauw Alejandro, Nicky Jam",Que Le De,"Duars Entertainment, Corp.",43,49,10,419532,AR,Argentina,Q2,2019,merged_data_2019.csv
46,spotify:track:42NACeANuRucHuCOFL5umq,"Seven Kayne, KHEA, Bhavi, Omar Varela, MYKKA",Buenos Aires,MUEVA,44,44,3,418144,AR,Argentina,Q2,2019,merged_data_2019.csv
47,spotify:track:4T4CZ3Q4z3GG7lU720YYhM,"Lunay, Gaby Music, Chris Jedi",Soltera,round2media - LaFamilia,47,50,5,417216,AR,Argentina,Q2,2019,merged_data_2019.csv
48,spotify:track:43Q1jBoHh3pQkh3Oy7TA1g,"LIT killah, Agus Padilla",Tan Bien,WM Argentina,21,48,19,412457,AR,Argentina,Q2,2019,merged_data_2019.csv
49,spotify:track:3CACzG9I3AoKUKA3ODE5zW,"Damas Gratis, Viru Kumbieron",Me Vas a Extrañar - En Vivo,Pelo Music S.A.,4,43,31,403149,AR,Argentina,Q2,2019,merged_data_2019.csv
50,spotify:track:4KkUjFkcQvGvWekl8RATDn,"6ix9ine, Anuel AA",BEBE (feat. Anuel AA),"ScumGang Records / TenThousand Projects, LLC",8,46,32,397273,AR,Argentina,Q2,2019,merged_data_2019.csv
1,spotify:track:1Ej96GIBCTvgH7tNX1r3qr,"Sech, Darell",Otro Trago,Rich Music/Ingrooves Records,1,1,11,2229582,AR,Argentina,Q3,2019,merged_data_2019.csv
2,spotify:track:2TH65lNHgvLxCKXM3apjxI,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,2,3,6,1919397,AR,Argentina,Q3,2019,merged_data_2019.csv
3,spotify:track:1c0hsvHLELX6y8qymnpLKL,"Lunay, Daddy Yankee, Bad Bunny",Soltera (Remix),round2media - LaFamilia,2,2,9,1895501,AR,Argentina,Q3,2019,merged_data_2019.csv
4,spotify:track:0TK2YIli7K1leLovkQiNik,"Shawn Mendes, Camila Cabello",Señorita,Island Records,4,5,3,1496833,AR,Argentina,Q3,2019,merged_data_2019.csv
5,spotify:track:5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,Tal Vez,WEA Latina,1,4,15,1481124,AR,Argentina,Q3,2019,merged_data_2019.csv
6,spotify:track:2qG5sZ7Si6sdK74qLxedYM,"ROSALÍA, J Balvin, El Guincho",Con Altura,Columbia,5,7,15,1351953,AR,Argentina,Q3,2019,merged_data_2019.csv
7,spotify:track:7g8YaUQABMal0zWe7a2ijz,"Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez",Pa Mí (Remix),Rich Music/Ingrooves Records,1,6,22,1309508,AR,Argentina,Q3,2019,merged_data_2019.csv
8,spotify:track:7anSoGdgtmJTAPZBzcPhO6,"Dalex, Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Feid, Rafa Pabön",Cuaderno,Rich Music/Ingrooves Records,8,8,9,1247569,AR,Argentina,Q3,2019,merged_data_2019.csv
9,spotify:track:4R8BJggjosTswLxtkw8V7P,"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,N&E Entertainment LLC,9,10,8,1157429,AR,Argentina,Q3,2019,merged_data_2019.csv
10,spotify:track:07L6tEZIfCX3GZAWCpGj0e,"TINI, Greeicy",22,5020 Records,9,9,10,1107156,AR,Argentina,Q3,2019,merged_data_2019.csv
11,spotify:track:7KbF6AdprOXEEHlsq11Z6d,Maluma,11 PM,Sony Music Latin,10,11,8,1050987,AR,Argentina,Q3,2019,merged_data_2019.csv
12,spotify:track:6v0lAdFF4haL8xjBIUjtOw,"Nicky Jam, Ozuna",Te Robaré,Sony Music Latin,9,15,16,1023643,AR,Argentina,Q3,2019,merged_data_2019.csv
13,spotify:track:7BuSE9uTIw931wtZYzvZcQ,"Sebastian Yatra, Daddy Yankee, NATTI NATASHA, Jonas Brothers",Runaway,UMLE - Latino,13,14,3,978190,AR,Argentina,Q3,2019,merged_data_2019.csv
14,spotify:track:7fODjB7BrQTGqh0hogW6XD,"Sech, Justin Quiles, Maluma, Nicky Jam, Farruko, Dalex, Lenny Tavárez",Que Mas Pues - Remix,Rich Music/Ingrooves Records,14,16,13,943103,AR,Argentina,Q3,2019,merged_data_2019.csv
15,spotify:track:5w9c2J52mkdntKOmRLeM2m,"Daddy Yankee, Snow",Con Calma,Craft Latino,1,13,24,930061,AR,Argentina,Q3,2019,merged_data_2019.csv
16,spotify:track:5qN1G8fSHq4Sv5FRoOkNGu,Paulo Londra,Por Eso Vine,WEA Latina,16,19,7,898695,AR,Argentina,Q3,2019,merged_data_2019.csv
17,spotify:track:4lzxJ4jCuFDXXGkE1LmpKR,"DJ Luian, Mambo Kingz, Anuel AA, Nicky Jam, Darell, Brytiago",Verte Ir,Hear This Music,7,18,15,847643,AR,Argentina,Q3,2019,merged_data_2019.csv
18,spotify:track:624AL3EwsrgGIp6bdwmXgo,"Duki, KHEA",Hitboy,DALE PLAY Records,6,12,6,842855,AR,Argentina,Q3,2019,merged_data_2019.csv
19,spotify:track:3H9GDhVVTlmFQSmpt51qiP,"Paulo Londra, De La Ghetto, Justin Quiles",Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),WEA Latina,7,17,9,807530,AR,Argentina,Q3,2019,merged_data_2019.csv
20,spotify:track:0OWcpVA83HI8Pb5DybDuoX,"Neo Pistea, C.R.O, Obie Wanshot, YSY A, Cazzu, KHEA, Lucho SSJ, Coqeéin Montana, Marcianos Crew, Duki","Tumbando el Club (feat. C.R.O, Obiewanshot, YSY A, Cazzu, Khea, Lucho SSJ, Coqeéin Montana, Marcianos Crew & Duki) - Remix",Columbia,2,20,16,791127,AR,Argentina,Q3,2019,merged_data_2019.csv
21,spotify:track:132ALUzVLmqYB4UsBj5qD6,Paulo Londra,Adan y Eva,WEA Latina,1,23,36,745713,AR,Argentina,Q3,2019,merged_data_2019.csv
22,spotify:track:7tAFzqPUa2G7EziujIPP7K,j mena,La Cobra,LEB Records,1,22,9,737028,AR,Argentina,Q3,2019,merged_data_2019.csv
23,spotify:track:19S1u14a1mNsryjT7Nb7ri,"j mena, Cazzu",Quien Empezó,LEB Records,21,21,2,704190,AR,Argentina,Q3,2019,merged_data_2019.csv
24,spotify:track:5s8LepdwU0THzpd0M7nLsa,Ozuna,Te Soñé de Nuevo,Aura Music Corp.,24,26,5,671587,AR,Argentina,Q3,2019,merged_data_2019.csv
25,spotify:track:25ZAibhr3bdlMCLmubZDVt,"J Balvin, Bad Bunny",QUE PRETENDES,Universal Music Latino / Rimas,25,25,2,650380,AR,Argentina,Q3,2019,merged_data_2019.csv
26,spotify:track:5W83ErFkO3aKAIS1WMi6u0,"Anuel AA, KAROL G",Secreto,Anuel AA & Karol G - Secreto,2,24,26,642900,AR,Argentina,Q3,2019,merged_data_2019.csv
27,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,27,40,2,642687,AR,Argentina,Q3,2019,merged_data_2019.csv
28,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capó, Farruko",Calma - Remix,Sony Music Latin,1,30,36,638636,AR,Argentina,Q3,2019,merged_data_2019.csv
29,spotify:track:2vrpcQNg6itmgVZWsNjWe0,"Sebastian Yatra, Reik",Un Año,UMLE - Latino,6,29,25,619708,AR,Argentina,Q3,2019,merged_data_2019.csv
30,spotify:track:7kh95COsNZjnTmc6aF76n7,Paulo Londra,Homerun (Intro),WEA Latina,10,27,7,613355,AR,Argentina,Q3,2019,merged_data_2019.csv
31,spotify:track:1LIqNVhaIgxXUt2eVoIQJ3,Maluma,HP,Sony Music Latin,7,28,19,604808,AR,Argentina,Q3,2019,merged_data_2019.csv
32,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,21,33,15,576336,AR,Argentina,Q3,2019,merged_data_2019.csv
33,spotify:track:703iVQrfbQsXt7Uzgy1h8k,Sebastian Yatra,Cristina,UMLE - Latino,11,31,16,576280,AR,Argentina,Q3,2019,merged_data_2019.csv
34,spotify:track:5KbBGUpIZd6gVFUU8tqYiQ,"Myke Towers, Farruko",Si Se Da,2019 Casablanca Records & One World Music | Distributed by GLAD Empire,24,32,18,574167,AR,Argentina,Q3,2019,merged_data_2019.csv
35,spotify:track:56f5qnyAlZdlz8wrUDA50h,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,Sony Music Latin,3,35,38,540898,AR,Argentina,Q3,2019,merged_data_2019.csv
36,spotify:track:37eGbhE1xVFSvcKkqGb6i1,"Sean Paul, J Balvin",Contra La Pared,Universal-Island Records Ltd.,22,34,17,530476,AR,Argentina,Q3,2019,merged_data_2019.csv
37,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,"Anuel AA, Haze",Amanece,House of Haze,10,38,30,472901,AR,Argentina,Q3,2019,merged_data_2019.csv
