rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year
1,spotify:track:4TGwERXRlyQtBdggYTHo6j,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],WEA Latina,1,55,2,3455458,AR,Argentina,Q1,2022
2,spotify:track:2Gq636OOGgxCTqEuzCZhsa,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48/66",DALE PLAY Records,1,1,3,2749851,AR,Argentina,Q1,2022
3,spotify:track:5fBQLapwAPSLw27STml9kr,Salastkbron,TITAN,WM Argentina,2,3,7,2622667,AR,Argentina,Q1,2022
4,spotify:track:0lJE8f0lx8mUSfMyxeYpiC,"TINI, L-Gante",Bar,Sony Music Latin,1,2,9,2567952,AR,Argentina,Q1,2022
5,spotify:track:6P096SaOzrgGxs8NWOfX7M,"Tiago PZK, Trueno",Salimo de Noche,WM Chile,1,4,12,2247804,AR,Argentina,Q1,2022
6,spotify:track:1kjs5eR4DMzyB0gm1Z8waV,Trueno,DANCE CRIP,©️ Ⓟ 2022 Sur Capital Records (por Tierra Agencia),3,5,8,2121627,AR,Argentina,Q1,2022
7,spotify:track:5j3wzSS6z80VEs71O0gysC,"Kaleb Di Masi, Omar Varela",Hace Calor,Wapeo,7,7,5,2032633,AR,Argentina,Q1,2022
8,spotify:track:3sVuWmggRqfAK3qk7OIEAz,"MYA, Emilia",BB,Columbia,5,6,7,1817046,AR,Argentina,Q1,2022
9,spotify:track:4xv2A022v5A8nyewDkYOkQ,"Emilia, Tiago PZK",rápido lento,Sony Music Latin,2,9,15,1647603,AR,Argentina,Q1,2022
10,spotify:track:2qEoAz0i6yEz5dPggABcLH,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,Chosen Few/ WK Records,3,8,12,1573705,AR,Argentina,Q1,2022
11,spotify:track:7JZ5mOTea5T4LH0UdwCsWx,Duki,TOP 5,DALE PLAY Records / SSJ Records,11,35,7,1521359,AR,Argentina,Q1,2022
12,spotify:track:23R68uWGdp07SwQdK8mWzI,"Rusherking, Maria Becerra",Antes de Ti,Rusherking,1,10,14,1505621,AR,Argentina,Q1,2022
13,spotify:track:1CpRJLarXSUho5AopXxNQj,"Callejero Fino, Pusho DJ",Pa Tra Rkt,Callejero Fino,10,11,10,1441195,AR,Argentina,Q1,2022
14,spotify:track:5i82o3878xCPNCUK8VIeqX,"Los Ángeles Azules, Nicki Nicole",Otra Noche,Seitrack,12,12,9,1428856,AR,Argentina,Q1,2022
15,spotify:track:3xnzkgl56WCFFzLxQ8c07L,"DJ Tao, Kaleb Di Masi",KALEB DI MASI | DJ TAO Turreo Sessions #5,WM Chile,6,13,17,1331312,AR,Argentina,Q1,2022
16,spotify:track:1GYJpuLq41vEVKXiHGEY9j,"Emilia, Duki",como si no importara,Sony Music Latin,2,18,27,1326428,AR,Argentina,Q1,2022
17,spotify:track:1p22yVi9e8DT6BEUvOZ0TL,"Emilia, Rusherking",De Enero a Diciembre,Sony Music Latin,17,20,4,1319592,AR,Argentina,Q1,2022
18,spotify:track:1wcE84DVQUF16xudVFzezL,"Mau y Ricky, Maria Becerra",Mal Acostumbrao - con Maria Becerra,Sony Music Latin,4,19,19,1298599,AR,Argentina,Q1,2022
19,spotify:track:2Qv0DF1us4LhzLj0Cx9cSn,"Kaleb Di Masi, ECKO, Papichamp, Blunted Vato, Bruno LC",Turraka - Remix,Wapeo,1,16,19,1201613,AR,Argentina,Q1,2022
20,spotify:track:0cOa970mzTWAxKtltpkpLc,"TINI, Maria Becerra",Miénteme,Sony Music Latin,1,15,37,1192476,AR,Argentina,Q1,2022
21,spotify:track:6w8yBI2vthyN9UnwO4UBWb,"Tiago PZK, LIT killah",Entre Nosotros,WM Chile,1,14,27,1187080,AR,Argentina,Q1,2022
22,spotify:track:6lX6l7OuA3qrnIRfdsr0dw,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,WEA Latina,21,23,11,1176353,AR,Argentina,Q1,2022
23,spotify:track:7onMf0QvWgRba2MRxG27yj,La K'onga,El Mismo Aire,Leader Music,16,17,57,1153032,AR,Argentina,Q1,2022
24,spotify:track:4Yip3hds5IHyT7AqoNHfmX,"Maria Becerra, Becky G",Wow Wow (feat. Becky G),300 Entertainment,1,22,20,1118735,AR,Argentina,Q1,2022
25,spotify:track:6KGGhJoXrztLp8ZT91zizs,"Duki, Rels B",YIN YAN,DALE PLAY Records / SSJ Records,25,27,7,1102412,AR,Argentina,Q1,2022
