rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year
1,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capó, Farruko",Calma - Remix,Sony Music Latin,1,2,10,2506857,AR,Argentina,Q1,2019
2,spotify:track:6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva,WEA Latina,1,1,10,2451964,AR,Argentina,Q1,2019
3,spotify:track:5lcL51XmmTrQy09H85wIJZ,DJ Alex,Leña para el Carbón,DJ Alex,3,3,5,1709216,AR,Argentina,Q1,2019
4,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA,Rimas Entertainment LLC,2,5,13,1427528,AR,Argentina,Q1,2019
5,spotify:track:3dLiBBKbeUIhzGNeuo5JGS,"Duki, DrefQuila",Sin Culpa (feat.DrefQuila),SSJ Records / DALE PLAY Records,5,6,5,1389999,AR,Argentina,Q1,2019
6,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1,4,15,1378374,AR,Argentina,Q1,2019
7,spotify:track:2XXMDz7SPZ4mSFN1PXfHUy,"Becky G, Paulo Londra",Cuando Te Besé,Sony Music Latin,1,7,23,1245245,AR,Argentina,Q1,2019
8,spotify:track:6MJUCumnQsQEKbCy28tbCP,"Daddy Yankee, Anuel AA",Adictiva,Craft Latino,8,12,9,1215592,AR,Argentina,Q1,2019
9,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,J Balvin,Reggaeton,UMLE - Latino,9,11,8,1183089,AR,Argentina,Q1,2019
10,spotify:track:22sESxzbY1O1E19xjOTaYf,Rombai,Me Voy,Sony Music Latin,8,10,15,1172761,AR,Argentina,Q1,2019
11,spotify:track:7uQmJ1jgNzBpATSoWKSPFu,"Sebastian Yatra, Mau y Ricky",Ya No Tiene Novio,UMLE - Latino,4,9,22,1150556,AR,Argentina,Q1,2019
12,spotify:track:0s5DNDV6LAKn2u2Ufa3VjQ,"Mau y Ricky, Manuel Turizo, Camilo",Desconocidos,Sony Music Latin,12,13,12,1121985,AR,Argentina,Q1,2019
13,spotify:track:3CACzG9I3AoKUKA3ODE5zW,"Damas Gratis, Viru Kumbieron",Me Vas a Extrañar - En Vivo,Pelo Music S.A.,4,8,18,1053533,AR,Argentina,Q1,2019
14,spotify:track:48zFZh27QU5qsrBjn4C2FA,"Ozuna, Manuel Turizo",Vaina Loca,VP Records Corp/Dimelo Vi,2,14,28,929835,AR,Argentina,Q1,2019
15,spotify:track:3ao3OVxHlb3C08vAaApUlm,"Luis Fonsi, Ozuna",Imposible,UMLE - Latino,13,16,12,918990,AR,Argentina,Q1,2019
16,spotify:track:2cYnZNzFRFK0H7vSNxPsUq,"Anuel AA, Romeo Santos",Ella Quiere Beber - Remix,"Real Hasta La Muerte, LLC",15,17,10,880961,AR,Argentina,Q1,2019
17,spotify:track:2zDj4WjbNDmrRL6Z4YjjCA,"Reik, Maluma",Amigos Con Derechos,Columbia,9,18,19,813717,AR,Argentina,Q1,2019
18,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,"Anuel AA, Haze",Amanece,House of Haze,18,21,4,790947,AR,Argentina,Q1,2019
19,spotify:track:7dNwJbsT0sg1le5kVugGJb,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",Bubalu,Hear This Music,19,22,9,750601,AR,Argentina,Q1,2019
20,spotify:track:4KkUjFkcQvGvWekl8RATDn,"6ix9ine, Anuel AA",BEBE (feat. Anuel AA),"ScumGang Records / TenThousand Projects, LLC",8,19,19,742774,AR,Argentina,Q1,2019
21,spotify:track:3trowLiYwwOoiwapLISNyk,"Damas Gratis, Viru Kumbieron",No Te Creas Tan Importante - En Vivo,Pelo Music S.A.,10,15,41,726972,AR,Argentina,Q1,2019
22,spotify:track:04cd1MHVq1D8v1nuTZoCdv,Piso 21,Puntos Suspensivos,WM Mexico,22,24,15,708054,AR,Argentina,Q1,2019
23,spotify:track:62o8KoI44JfN7aYxgTnPvh,Maluma,Mala Mía,Sony Music Latin,8,20,22,658146,AR,Argentina,Q1,2019
24,spotify:track:7zAGi1cps7yYhAajGXlFTH,Paulo Londra,Chica Paranormal,WEA Latina,3,23,25,650903,AR,Argentina,Q1,2019
