rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year
1,spotify:track:7aPsseax6rNFyipHn9A5CR,"Luck Ra, BM",La Morocha,Sony Music Entertainment Chile S.A,1,1,27,3552305,AR,Argentina,Q1,2024
2,spotify:track:1kqH58eGh2ZTOHwqBIB2tM,"Mesita, Nicki Nicole, Tiago PZK, Emilia",Una Foto Remix (feat. Emilia),Mesita,2,-1,1,3462190,AR,Argentina,Q1,2024
3,spotify:track:1NMbORRsowjN8q000xlJ8l,"Luck Ra, Abel Pintos",QUE ME FALTE TODO,Sony Music Entertainment Chile S.A,3,3,11,3110247,AR,Argentina,Q1,2024
4,spotify:track:6Es8Sk3xe1HiJ2MXCfHHwR,"Emilia, TINI",La_Original.mp3,Sony Music Latin,1,2,10,3082734,AR,Argentina,Q1,2024
5,spotify:track:6gV8ALkSHfJi7Bprabr1FC,"Roze Oficial, Peipper",Inocente,Sony Music Uruguay,5,5,5,3016631,AR,Argentina,Q1,2024
6,spotify:track:5f4mOETLngamMDTJnbF9s7,Emilia,Exclusive.mp3,Sony Music Latin,3,4,10,2806644,AR,Argentina,Q1,2024
7,spotify:track:10eRgZUM59q2G5ogpztSeL,"Luck Ra, KHEA",HOLA PERDIDA,Sony Music Entertainment Chile S.A,7,-1,1,2770159,AR,Argentina,Q1,2024
8,spotify:track:1gAPIjqunPXRA4y1kYZi0q,"Rusherking, Marama",Besos con Fernet,Rusherking,8,8,9,2465303,AR,Argentina,Q1,2024
9,spotify:track:7HrgGbnNKZKhBL70aFKpXk,"Marka Akme, DJ Tao, Lauty Gram, Migrantes, Peipper",Linda - Remix,NES Play,3,6,15,2449244,AR,Argentina,Q1,2024
10,spotify:track:5wcghdKONQcc5TKx9jCcns,"DJ Tao, Roze Oficial",ROZE | DJ TAO Turreo Sessions #22,WM Chile,10,12,6,2354055,AR,Argentina,Q1,2024
11,spotify:track:1xxtsuafCIJm7WPQ1tdDDi,"Marama, MYA, Robleis",Bronceado - Remix,Montevideo Music Group,11,25,4,2317189,AR,Argentina,Q1,2024
12,spotify:track:0H9WU0OIXPpbOVgzzOanXb,BM,Ni Una Ni Dos,DALE PLAY Records / Wesaisons Records,2,7,28,2310280,AR,Argentina,Q1,2024
13,spotify:track:4sl3IoHskl2Kbdy27gZ4yn,Mesita,Una Foto,Turbo Diesel Records,4,11,20,2107549,AR,Argentina,Q1,2024
14,spotify:track:6Z28dALKtAgZ7AZRfjMQjY,"Big One, Ulises Bueno, Rusherking",Mentiras | CROSSOVER #3,Fifty One,5,13,25,1934388,AR,Argentina,Q1,2024
15,spotify:track:4jn3R3KF5hx2fCiXlj89yE,"YSY A, Bhavi, Milo j",FLECHAZO EN EL CENTRO,Ysy A,12,18,18,1927931,AR,Argentina,Q1,2024
16,spotify:track:04sktg3deiYUweHfbFUZTM,"Los Ángeles Azules, Maria Becerra",El Amor De Mi Vida,Seitrack,11,14,21,1911397,AR,Argentina,Q1,2024
17,spotify:track:3tiJUOfAEqIrLFRQgGgdoY,"Big One, FMK, Ke Personajes",Un Finde | CROSSOVER #2,Fifty One,1,10,41,1872833,AR,Argentina,Q1,2024
18,spotify:track:2xbH0CuDbid800YW5nMPzR,"Emanero, Karina, j mena, Angela Torres",SINVERGÜENZA - con Angela Torres,Fifty One,15,15,5,1862555,AR,Argentina,Q1,2024
19,spotify:track:6hv8hai0yo19JF2c6pppj6,Emilia,GTA.mp3,Sony Music Latin,2,17,18,1790115,AR,Argentina,Q1,2024
20,spotify:track:5O9IqFNUVtjRlDpdKex3YH,El negro tecla,Ahi Ahi,WM Argentina,8,9,18,1743288,AR,Argentina,Q1,2024
21,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,21,32,5,1709039,AR,Argentina,Q1,2024
22,spotify:track:1dtFrIzrr4DJZOHHESVwbt,"Gusty dj, Salastkbron, Callejero Fino, Alejo Isakk, R Jota, L-Gante, Lolo OG, DobleP, Lauty Gram",El Super Junte Rkt,GUSTY DJ,20,20,6,1661995,AR,Argentina,Q1,2024
23,spotify:track:11PV8CaPqlto9Uejx92C35,"Grupo Frontera, Ke Personajes",OJITOS ROJOS,BorderTown Records,4,16,25,1585952,AR,Argentina,Q1,2024
24,spotify:track:6PMapQ7YSxkhAgNOvvoiWs,"Sayian Jimmy, Nysix Music, CamiMusic",Bad Boy,sayian jimmy / nysix music,9,21,12,1568634,AR,Argentina,Q1,2024
25,spotify:track:1smRP4zRit7A6ZDQXkFJWC,"El Joan, Celso El Potente",Le Gustan Lo' Flaites,El Joan,22,22,8,1559931,AR,Argentina,Q1,2024
26,spotify:track:6CIMoDfTsvFVGhFi3v9Izn,"Alan Gomez, Luck Ra",Luck Ra | Mission 15,WM Chile,18,28,34,1483255,AR,Argentina,Q1,2024
27,spotify:track:3cDyocF0Ibdfs1SFQk5cLZ,Darell,Lollipop,Sony Music Latin,2,23,14,1449781,AR,Argentina,Q1,2024
28,spotify:track:6q6aChVJ5LLXFUSfakwpxW,"Maria Becerra, Chencho Corleone, Ovy On The Drums",Piscina,WEA Latina,22,31,9,1424623,AR,Argentina,Q1,2024
29,spotify:track:6jRZ33ifS5VOTMwmPxhPhN,"Luck Ra, La K'onga, Ke Personajes",Ya No Vuelvas (Versión Cuarteto),Sony Music Entertainment Chile S.A,1,19,58,1418607,AR,Argentina,Q1,2024
30,spotify:track:4GvEuYAfJlICR2SpMDaBxQ,"Jere Klein, Gittobeatz",ANDO,Jere Klein,8,26,15,1412269,AR,Argentina,Q1,2024
31,spotify:track:3oNnzH6hmqIGIhJ1NcHlrh,Maria Becerra,CORAZÓN VACÍO,WEA Latina,1,27,29,1406742,AR,Argentina,Q1,2024
32,spotify:track:7xX7bER73YZSE4m76OpMXV,"FMK, Emilia",Salgo a Bailar,Sony Music Entertainment Chile S.A,13,35,26,1402174,AR,Argentina,Q1,2024
33,spotify:track:0kVpyCPMT52a05026zHGiq,"Fer Vazquez, Flor Alvarez",Sin Querer,Fermazel LLC,33,63,4,1363823,AR,Argentina,Q1,2024
34,spotify:track:1Hs1uUl8o2VtDp1DABFq0O,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One, FMK",Los del Espacio,WEA Latina,1,24,32,1347285,AR,Argentina,Q1,2024
35,spotify:track:3ezO8gfskSWM3rk0GTfhFl,"Emanero, Ulises Bueno, Migrantes, Los Palmeras",ATORRANTE - con Los Palmeras,Fifty One,15,29,27,1319237,AR,Argentina,Q1,2024
36,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,Quevedo,Columbia,Rimas Entertainment LLC.,1,33,27,1300519,AR,Argentina,Q1,2024
37,spotify:track:7HdEUquZzUzPjgSllvlJGl,"Luck Ra, La T y La M, Rusherking",Quiero Creer,Sony Music Entertainment Chile S.A,11,38,49,1281479,AR,Argentina,Q1,2024
