rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,country_code,country_name,quarter,year
1,spotify:track:5MKbWaXeSQSmzmo7gPQha1,"La T y La M, Malandro",Amor de Vago,GraceMusic,1,1,18,2865211,AR,Argentina,Q1,2025
2,spotify:track:7yif9yIhSCxhcPExFOktCp,"Gordo, Emilia",Olvidarte (feat. Emilia),"Ultra Records, LLC",2,2,4,2849322,AR,Argentina,Q1,2025
3,spotify:track:5AGnkbWCiF9u4ra54N9X1a,"Bizarrap, Luck Ra","Luck Ra: Bzrp Music Sessions, Vol. 61/66",DALE PLAY Records,3,4,2,2825828,AR,Argentina,Q1,2025
4,spotify:track:69vi5SUSJJF0CQJCZngFFS,"Jombriel, Alex Krack, Jøtta",Parte & Choke,WEA Latina,4,9,7,2309477,AR,Argentina,Q1,2025
5,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,"Tiago PZK, Anitta, Emilia",Alegría,WEA Latina,1,5,22,2060752,AR,Argentina,Q1,2025
6,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,1,3,29,2037370,AR,Argentina,Q1,2025
7,spotify:track:0qeIFEGRQqHoaJtLCl0U73,"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),WEA Latina,2,6,12,1863396,AR,Argentina,Q1,2025
8,spotify:track:4xXvGEiTkoaIkOMWa4u3Mn,"Renzo ED, elaggume",COLOCARTELO,WM Chile,5,10,9,1838639,AR,Argentina,Q1,2025
9,spotify:track:6kPCcIAGoTeRrh8qrmKa90,"Tiago PZK, Ke Personajes",Piel,WEA Latina,2,7,49,1759765,AR,Argentina,Q1,2025
10,spotify:track:5AkLEnorFvb7WIJOGqKYVT,"Big One, Emanero, Valentino Merlo",Si Un Día Estás Sola | CROSSOVER #7,Fifty One,4,11,18,1552010,AR,Argentina,Q1,2025
11,spotify:track:4dLLdfiniBhDP9dlJQIOi4,"Los Ángeles Azules, Emilia",Perdonarte ¿Para Qué?,Seitrack,1,12,33,1544885,AR,Argentina,Q1,2025
12,spotify:track:1TyBUtMxdmRfXhW3MmbxtQ,"Luck Ra, Abel Pintos",QUE ME FALTE TODO,Sony Music Entertainment Chile S.A,3,8,63,1527885,AR,Argentina,Q1,2025
13,spotify:track:5rQSQlZXXjMcevPGoAfE1z,"Salastkbron, Diel Paris",Un Besito Más,WEA Latina,2,14,43,1417923,AR,Argentina,Q1,2025
14,spotify:track:7yrTny7FLWLbfIzsxoicWj,Emilia,noviogangsta <3,Sony Music Latin,2,18,13,1281664,AR,Argentina,Q1,2025
15,spotify:track:4eqXTlaHeK6xkM1fRx9wR5,"Pinky SD, Un Poco de Ruido, Uriel Lozano",Conmigo Te Gustó,Pinky SD,13,15,21,1277000,AR,Argentina,Q1,2025
16,spotify:track:1R3ubqAHKHE6f64Hz37q8h,La T y La M,Un Montón de Estrellas - En Vivo Gran Rex,GraceMusic,13,13,15,1262658,AR,Argentina,Q1,2025
17,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,"Valentino Merlo, The La Planta",Hoy,TLP Records,1,16,33,1245722,AR,Argentina,Q1,2025
18,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,18,-1,1,1230467,AR,Argentina,Q1,2025
19,spotify:track:7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,UMLE - Latino,5,29,57,1227203,AR,Argentina,Q1,2025
20,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,14,35,8,1220960,AR,Argentina,Q1,2025
21,spotify:track:2xbH0CuDbid800YW5nMPzR,"Emanero, Karina, j mena, Angela Torres",SINVERGÜENZA - con Angela Torres,Fifty One,14,17,57,1216501,AR,Argentina,Q1,2025
22,spotify:track:42mrOMjkQb7jRKatu0bqg4,"Q' Lokura, Luck Ra",Mil Preguntas,Q' Lokura,15,19,39,1212930,AR,Argentina,Q1,2025
23,spotify:track:6hLsMjw00j3HGrkUjKwmgo,"King Savagge, Jairo Vera, Bayron Fire",A200,King savagge,23,37,7,1201735,AR,Argentina,Q1,2025
