rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
129,"spotify:track:5LKNumPGm1bEyVroDE4rcZ","Benjamin Ingrosso","All Night Long (All Night) - Recorded at Spotify Studios Stockholm","Record Company TEN",5,125,30,"170285"
130,"spotify:track:5xQ1yxKzTuPcSNO9FP0lNS","Ruben","Lay By Me","Universal Music AS",26,142,30,"170242"
131,"spotify:track:3ohk7UW328iwdvQLz9sxCv","Hov1","Neon","Universal Music AB",7,119,21,"167571"
132,"spotify:track:4j2gmxXXeXwUHMXsdMPtVc","Mwuana","Craftmanship","ART:ERY Music Group",68,120,32,"167192"
133,"spotify:track:3nUJ6SBFMkWzBh2XEEKpih","Einár","Fusk del 2","Independent",26,87,6,"166810"
134,"spotify:track:0s1ctf86QoQPW8IhBPmLnq","rezspawn","VÄRLDSKLASS","FS Media",51,107,6,"165996"
135,"spotify:track:25sgk305KZfyuqVBQIahim","Ava Max","Sweet but Psycho","Atlantic Records",1,141,60,"165477"
136,"spotify:track:6CvVyvR7RlEgQe8qvqqX7Q","Seinabo Sey, Vargas & Lagola","Shores","Universal Music AB",59,105,3,"165414"
137,"spotify:track:4HNmIoJI1LnAjwx0JFFx5t","Lars Winnerbäck","Paradiset","United Stage Management Group",64,64,3,"164747"
138,"spotify:track:67aaf3NeORgCeiZl1ITNXP","Samir & Viktor","Odödlig","WM Sweden",22,128,20,"162563"
139,"spotify:track:2K5Us8xDqhsseNiSvdpeaK","Ricky Rich, ARAM Mafia","Rika","Ricky Rich & ARAM Mafia",20,146,26,"162164"
140,"spotify:track:3M9Apu4OZfylLTFKvgEtKa","Tiësto, Jonas Blue, Rita Ora","Ritual","Universal Music, a division of Universal International Music BV",23,132,19,"159760"
141,"spotify:track:23MBpKcMc36cy26jjehN5A","GAMMAL","Blommor där du står","Columbia",16,140,36,"159642"
142,"spotify:track:26wLOs3ZuHJa2Ihhx6QIE6","5 Seconds of Summer","Teeth","UMGRI Interscope",65,151,7,"159504"
143,"spotify:track:6osaMSJh9NguagEDQcZaKx","DJ Snake, J Balvin, Tyga","Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake Music Productions Limited",40,117,17,"159224"
144,"spotify:track:0Xek5rqai2jcOWCYWJfVCF","Post Malone, DaBaby","Enemies (feat. DaBaby)","Republic Records",31,122,5,"156979"
145,"spotify:track:4zq3vo66raGBslISEk6Kg5","Molly Sandén","Va det då?","Milkshake",10,133,24,"156679"
146,"spotify:track:6jcDRvXxYCfGlFnOcG08Kr","Lars Winnerbäck","Hur och vem och vad","United Stage Management Group",62,62,3,"155480"
147,"spotify:track:1K52LhQ3ewrZQu22vhVqKS","Parham","Solstrålar","This Is Scandinavia",147,-1,1,"154915"
148,"spotify:track:7LzouaWGFCy4tkXDOOnEyM","Camila Cabello","Liar","Syco Music/Epic",58,135,5,"154836"
149,"spotify:track:2qKtQuFukH2d0m3FNROcqH","Miriam Bryant","Blåmärkshårt (Mi Amor)","WM Sweden",64,144,15,"154544"
150,"spotify:track:14sOS5L36385FJ3OL8hew4","Kygo, Sandro Cavazza","Happy Now","Kygo",4,158,50,"153311"
151,"spotify:track:5qmq61DAAOUaW8AUo8xKhh","Lizzo","Truth Hurts","Nice Life/Atlantic",151,156,19,"152584"
152,"spotify:track:5WHTFyqSii0lmT9R21abT8","Mabel","Don't Call Me Up","Polydor Records",11,152,37,"152574"
153,"spotify:track:52wKdA2K7XYxRhkCaycfNO","DON V","Vi Kan Det","OSS",101,101,2,"151961"
154,"spotify:track:2J46misMwPFMdxwa7iY1GK","Veronica Maggio","En timme till","Universal Music AB",18,102,15,"151309"
155,"spotify:track:7sJwGtoWgkVRwzujlyT3cp","Lauv, Miquela","Sims - Miquela Remix","Lauv",155,-1,1,"150648"
156,"spotify:track:15xWRPHQMeqgdkGzInx3PY","James Arthur","Falling Like The Stars","Columbia Local",50,157,19,"150636"
157,"spotify:track:5GC6b6Ukc7PfwG8VfYO3ar","Norlie & KKV, estraden","Mer för varandra","Universal Music AB",1,155,73,"149986"
158,"spotify:track:2sD8iFVS1bXQjVGtDLbRM9","Ant Wan","Ghettostar","Ant Wan",30,110,5,"149849"
159,"spotify:track:1AfSccccjs0qPxCeuKAbEr","Miriam Bryant","Du Med Dig, Akustisk","WM Sweden",159,170,6,"149384"
160,"spotify:track:5ePQe6fhaFKZIMSitOTcdP","Miriam Bryant","NERÅT / UPPÅT","WM Sweden",54,153,20,"146948"
161,"spotify:track:6709eMbfnuHS64RVhlYLty","Bolaget","Afterwork","WM Sweden",111,177,6,"146301"
162,"spotify:track:69kbuj1vxwL7jN3AOl62eJ","1.Cuz, Einár, Dree Low","AKTA MANNEN - Remix","1.Cuz",26,160,19,"144770"
163,"spotify:track:4RzxXmS7VFsxo3yH88AZ9X","Lars Winnerbäck","Skulle aldrig hända oss","United Stage Management Group",77,77,3,"144275"
164,"spotify:track:7qA8S7mbV9uPy9rFprdN3C","Laleh","Goliat","WM Sweden",101,167,77,"143913"
165,"spotify:track:4bHsxqR3GMrXTxEPLuK5ue","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",64,179,137,"143565"
166,"spotify:track:5wHlxItO473Q4D3sQ8hPPQ","rezspawn","FRAM","FS Media",5,173,22,"143041"
167,"spotify:track:7J50ecMJHh9UiBiAT2iDHw","Felix Sandman","LOVISA","Artist House / Record Company TEN",35,178,46,"142902"
168,"spotify:track:2ksOAxtIxY8yElEWw8RhgK","Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna","China","2019 Real Hasta La Muerte, LLC.",36,149,12,"142826"
169,"spotify:track:4h8VwCb1MTGoLKueQ1WgbD","Avicii","Wake Me Up","Pophouse Entertainment Group",2,175,99,"141435"
170,"spotify:track:6hLkeOMrhZ2CMLBp2of576","OneRepublic","Wanted","Mosley Music/Interscope Records",118,145,4,"140750"
171,"spotify:track:2Vp7ZK5wP51LYayV14ichq","Chris Kläfford","If Not With You, For You","Universal Music AB",167,195,6,"140115"
172,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",5,186,103,"139759"
173,"spotify:track:6XHVuErjQ4XNm6nDPVCxVX","Chris Brown, Drake","No Guidance (feat. Drake)","Chris Brown Entertainment/RCA Records",72,182,16,"139161"
174,"spotify:track:3YOl49rulPzu6LHbeDicuT","Sandro Cavazza","Enemy","Universal Music AB",44,166,24,"138566"
175,"spotify:track:1tRaufhxtLwp06OwghC7qo","Filip Dikmen","Soga min fack","Filip Dikmen Entertainment AB",82,82,2,"138253"
176,"spotify:track:4e0FYxSROat25pH16zMTZI","Lil Tecca","Love Me","Republic Records",176,176,2,"138190"
177,"spotify:track:4IKnqJA2IJePtgjuDguAUw","Dani M, Einár, Prodotto di Superti","Aldrig nånsin haft","GMG SWEDEN AB",27,183,16,"137878"
178,"spotify:track:6XPlVVAiGzpm1fnsd9ybvi","Måns Zelmerlöw","Better Now","WM Sweden",77,184,16,"137533"
179,"spotify:track:454DGr2OoValu6yW3QtIqR","Einár, Sebastian Stakset","Ingen Som Varna Mig","Independent",34,134,6,"136713"
180,"spotify:track:468ooECb1oRgt4gGfLeAoH","Fricky","Aqua Aura","Random Bastards / Storspoven AB",23,174,81,"136458"
181,"spotify:track:02itaCXOdC54J0ISjqqFAp","R3HAB, A Touch Of Class","All Around The World (La La La)","Casablanca Records",46,164,25,"136279"
182,"spotify:track:6fenHIxXuuzKB55wY4WCHP","Tiësto, Mabel","God Is A Dancer (with Mabel)","Universal Music, a division of Universal International Music BV",54,154,3,"134342"
183,"spotify:track:1hkBAwXbev2tOp0S1EZQxz","Cherrie","MAZZA","ARAWEELO MUSIC",183,-1,1,"134017"
184,"spotify:track:3ADcoERQWpvrhiasnlIAek","Owen","Kan ej med mig","Nittiofyra",184,-1,1,"133986"
185,"spotify:track:2C6WXnmZ66tHhHlnvwePiK","Post Malone, Halsey, Future","Die For Me (feat. Future & Halsey)","Republic Records",38,148,5,"133804"
186,"spotify:track:0Ryd8975WihbObpp5cPW1t","Ariana Grande, Social House","boyfriend (with Social House)","Republic Records",18,-1,9,"133413"
187,"spotify:track:7xQAfvXzm3AkraOtGPWIZg","Post Malone","Wow.","Republic Records",2,161,42,"132818"
188,"spotify:track:4vUmTMuQqjdnvlZmAH61Qk","Ed Sheeran, Camila Cabello, Cardi B","South of the Border (feat. Camila Cabello & Cardi B)","Atlantic Records UK",13,-1,12,"132396"
189,"spotify:track:1cYuDwSoUfeS90ie7kV7c5","Einár, ADAAM","HipHop","Independent",4,171,18,"131693"
