rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4u3pVIKFDquOVeyvkc1Hjh","Zeamsone","5 INFLUENCEREK","Universal Music Polska Sp. z o.o.",1,1,5,"2004624"
2,"spotify:track:6tARtPlcilM1u4tbAWgato","Kizo, Bletka, BeMelo, Eddie Block, Adash","Taxi","spacerange",1,2,16,"1797159"
3,"spotify:track:4EqPIm07a55pJQRSZw2Z4X","Męskie Granie Orkiestra, Igo, Mrozu, Vito Bambino","Supermoce (feat. Igo, Mrozu & Vito Bambino)","Universal Music Polska Sp. z o.o.",2,5,8,"1189073"
4,"spotify:track:1odExI7RdWc4BT515LTAwj","David Kushner","Daylight","Miserable Music Group",1,4,13,"1144859"
5,"spotify:track:2nc3VYvWHGckELkcmzssWa","Kacperczyk","Jakbym zjadł mentosy i popił je colą","SBM Label",3,3,3,"1140998"
6,"spotify:track:7nWQQ9OhSt0w5umRS94PJV","sanah","Marcepan","Magic Records",2,6,12,"1020605"
7,"spotify:track:2xCSrx8a1gZllp0jSFzsP2","Chivas, White 2115","nóż motylkowy","GUGU",7,31,2,"917025"
8,"spotify:track:5KcuT4Yau5Y6KiiB0NR7C7","SB Maffija, Mata, White 2115, Wyguś, WoLa, slowez, Mario, Pedro, wxrrior, SHDØW","3 w nocy w Międzyzdrojach","SBM Label",3,7,6,"838826"
9,"spotify:track:2VYT8yaxvwXyRvAWZqM7Ws","Cyrko, D3W","PRYWATNY BAL","Sony Music Entertainment",9,9,25,"801039"
10,"spotify:track:13KCTlVIkhYcNm54SnVAfI","SB Maffija, Kinny Zimmer, Lanek, Białas, Bandura, Janusz Walczuk, Solar, Tomb, Dżinold","Bungee","SBM Label",4,8,6,"711833"
11,"spotify:track:2F2p7b5Xq20mRyEeWYaeUF","Purple Disco Machine, Kungs, Julian Perretta","Substitution (feat. Julian Perretta)","Columbia Local",11,13,10,"695447"
12,"spotify:track:3VjEZW12YW8yIxjKIzUZfi","Daria Zawiałow","FIFI HOLLYWOOD","Sony Music Entertainment",12,12,9,"672907"
13,"spotify:track:2WebYamytCv4EHXDoUWBPF","Szpaku, Kubi Producent, Waima","CRAZY FROG","GUGU",13,-1,1,"671582"
14,"spotify:track:62CjIeDBUEjvWp4PUuUCAR","Przemek.pro, Qry, Bartek Kubicki, Trzech Króli","Akropol","Ekipa",8,14,10,"641054"
15,"spotify:track:5AzCwwnB7XHoZZIusuHeXJ","Fukaj, charlie moncler, bambi","NIE MA CIĘ","SBM Label",15,-1,1,"618180"
16,"spotify:track:1YWr18dWRmuvPgAsPBsOow","FAST BOY, Topic","Forget You","Intercord",16,24,14,"617772"
17,"spotify:track:1DmW5Ep6ywYwxc2HMT5BG6","Loreen","Tattoo","Universal Music AB",2,11,19,"607391"
18,"spotify:track:63NqA1azM8ogGsJa7tFCRg","Tribbs, Robert Wiewióra","Krakowski Spleen","Unified Songs",18,27,8,"607291"
19,"spotify:track:2nFaT0t36H6UX3wN3Vxvjm","White 2115","California","SBM Label",6,15,264,"592914"
20,"spotify:track:2yxPqxHbj1L7vrCpHLtAcG","Dawid Podsiadło","mori","Pur Pur",1,19,38,"583622"
21,"spotify:track:2KEEXp9tP8rA5gcVJlbAtI","SB Maffija, Szpaku, Białas, Fukaj, po prostu Kajtek, White 2115, 27.Fuckdemons, Chivas, Kubi Producent","Czarna Perła","SBM Label",9,16,5,"552273"
22,"spotify:track:5YvL3ytkusKcM5ozxD9fKN","White 2115","RiRi","SBM Label",1,26,57,"550129"
23,"spotify:track:3FZPXHN1fgFeZEiXlMtosR","Smolasty, WIKTOR, Jakub Laszuk","Herbata Z Imbirem","WM Poland/WMI",14,21,21,"545826"
