rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5tpft20jhQvRlG3O7XfwWy","Tyler ICU, Tumelo_za, DJ Maphorisa, Nandipha808, Ceeka RSA, Tyrone Dee","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)","New Money Gang Records",1,1,11,"596993"
2,"spotify:track:0XSYoJ0MJpMB2tddyRcBEC","De Mthuda, Da Muziqal Chef, Eemoh","Sgudi Snyc","Universal Music (Pty) Ltd.",2,3,8,"389999"
3,"spotify:track:1CrwpdodnkXcjPSrg8kw9g","Mas Musiq, Daliwonga, DJ Maphorisa, Kabza De Small","Gangnam Style (feat. DJ Maphorisa & Kabza De Small)","New Money Gang Records",2,2,14,"314694"
4,"spotify:track:2FDTHlrBguDzQkp7PVj16Q","Dave, Central Cee","Sprinter","Neighbourhood / Live Yours",4,6,6,"277364"
5,"spotify:track:4k5FlWz3dfhyQzmRpVPZsW","Lady Amar, JL SA, Cici, Murumba Pitch","Hamba Juba","Lea Records",1,5,21,"263274"
6,"spotify:track:4rXLjWdF2ZZpXCVTfWcshS","Gunna","fukumean","300 Entertainment",6,8,4,"242981"
7,"spotify:track:3js04Z5R4L1ZvtLPopSG8l","Myztro, Daliwonga, Xduppy, ShaunMusiq & Ftears","Kunkra (feat. Xduppy & ShaunMusiq & Ftears)","New Money Gang Records",4,4,4,"237465"
8,"spotify:track:5SjrCoaMIUauMrOZG2CUnq","Sam Deep, Eemoh, Da Muziqal Chef","iMpumelelo","Universal Music (Pty) Ltd.",8,9,18,"237318"
9,"spotify:track:7ko9EAsZ2N1ZpEBlMUkR3J","Kabza De Small, DJ Maphorisa, Njelic, Young Stunna, Nkosazana Daughter, Xolani Guitar","Nana Thula (feat. Njelic, Young Stunna, Nkosazana Daughter & Xolani Guitar)","Piano Hub",6,7,8,"201618"
10,"spotify:track:6T7FXSuXykeGktMLGp8WgE","Lil Durk, J. Cole","All My Life (feat. J. Cole)","Alamo",2,10,9,"181666"
11,"spotify:track:4J1H4EuucGhhYfcPpYCBRr","DJ Stokie, Zee_nhle, Omit ST, Sobzeen","Awukhuzeki","Universal Music (Pty) Ltd.",11,45,4,"174295"
12,"spotify:track:1y5eHXBYiLgNv00KoHXm4o","Soa Mattrix, Mashudu, Happy Jazzman, Emotionz DJ","Mina Nawe","Soa Music Group",1,11,39,"160648"
13,"spotify:track:0AY3sNqV7qAdAZ8j6TRVBd","2Point1, Ntate Stunna, Nthabi Sings","Stimela","Penya Play Productions",1,13,29,"156294"
14,"spotify:track:6s1k8Ry40znPtEb9ijOlnw","Kaylow","24 Hours","Kaylow Publishing",2,12,6,"153418"
15,"spotify:track:1bmZLmDu9jkzwHInzPsYLD","Inkabi Zezwe, Sjava, Big Zulu","Umbayimbayi","Warner Music Africa",1,16,16,"152621"
16,"spotify:track:1SB1UdyYs3DMyzHVxZg0QE","ShaunMusiq & Ftears, Xduppy, Myztro, Mellow & Sleazy, QuayR Musiq, Matute Boy","Bhebha (feat. Myztro, Mellow & Sleazy, QuayR Musiq & Matuteboy)","Sound African Recordings",3,14,18,"145841"
17,"spotify:track:37ISMEYWqhRHcPEitHn8Er","uLazi, Infinity MusiQ","yey","Mguzuguzu Records",15,17,15,"143535"
18,"spotify:track:1nWA9Vtg9EW4i4Lr2YVsJJ","Busta 929, Pcee","Uyavala","Umsebenzi Wethu Records",15,15,3,"141707"
19,"spotify:track:51fIDcNGiIp7pxHCCN5QaL","Tyler ICU, Khanyisa, Tumelo_za, Tyrone Dee","NGIMOJA (feat. Khanyisa, Tumelo_za & Tyrondee)","New Money Gang Records",1,19,21,"140334"
20,"spotify:track:1eb2pZlRqGLndvOj8MHaTD","Khanyisa, Tyler ICU, Ceeka RSA, Nandipha808","SUKA (feat. Nandipha808, Ceeka RSA)","Superstar Studios",10,18,5,"138162"
21,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",5,21,30,"131946"
