rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
82,"spotify:track:6ex1Pz3pntgy4NPtxHXN2V","Ed Sheeran","Bad Habits","Atlantic Records UK",1,73,81,"51338"
83,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",83,128,10,"50303"
84,"spotify:track:4iuNZTcvT9diFySSzVsnVS","Fantasia","When I See U","J Records",53,120,140,"50272"
85,"spotify:track:67SKXlAbYNG5nAtadBfPm0","Wanitwa Mos, Master KG, Lowsheen, Nkosazana Daughter","Sofa Silahlane (feat. Nkosazana Daughter)","Wanitwa Mos Entertainment",1,57,35,"50142"
86,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You - Bonus Track","Atlantic Records",31,95,14,"49974"
87,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",56,108,18,"49854"
88,"spotify:track:34tz0eDhGuFErIuW3q4mPX","Drake, 21 Savage","On BS","OVO / Republic Records",3,88,10,"49706"
89,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",89,110,39,"49576"
90,"spotify:track:0V2KZRWQ0KIUrgScO3UHyC","ShaunMusiq & Ftears, Young Stunna, DJ Maphorisa, Visca","uShaka (feat. DJ Maphorisa & Visca)","New Money Gang Records",65,65,3,"49031"
91,"spotify:track:46IZ0fSY2mpAiktS3KOqds","Adele","Easy On Me","Columbia",1,124,65,"48943"
92,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,83,79,"48942"
93,"spotify:track:0AoBY2Y3qs6dtGgOD6c91N","Burna Boy","Alone","Roc Nation/Def Jam/Hollywood",66,103,9,"48907"
94,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",94,144,13,"48779"
95,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",57,109,104,"48503"
96,"spotify:track:10xV5l9nhLvFpR8mqzs0bL","Marshmello, Khalid","Numb","Joytime Collective/RCA Records",53,117,31,"48029"
97,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",7,134,209,"47600"
98,"spotify:track:2qxgejJTaZIHNSHDD22Uhl","Kabza De Small, DJ Maphorisa, Ami Faku","Abalele","Piano Hub",1,59,69,"47517"
99,"spotify:track:2Hh3ETdQKrmSI3QS0hme7g","Metro Boomin, Future, Don Toliver","Too Many Nights (feat. Don Toliver & with Future)","Republic Records",18,119,6,"46845"
100,"spotify:track:1zHdh2Muk7jyPYXc8h1zPs","Big Zulu, Mduduzi Ncube, Siya Ntuli, Lwah Ndlunkulu, Xowla","Voicemail","Nkabi Records",11,70,27,"46772"
101,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",101,158,2,"46695"
102,"spotify:track:3AN96mijpWgIeUEJpvCNaO","Barto","Impulsief","Select Musiek",102,115,5,"46639"
103,"spotify:track:4eZZofkV1OQ9GDqAgHqNpA","Kizz Daniel, Tekno","Buga (Lo Lo Lo)","FlyBoy INC / EMPIRE",12,64,35,"46420"
104,"spotify:track:0u2A4QNAMUyfQbgfVR3HvK","Kizz Daniel, EMPIRE","Cough (Odo)","EMPIRE",102,114,11,"46284"
105,"spotify:track:6NB2npCHsGXQ059pMhXJzl","Barto","H2Oë","Select Musiek",92,92,10,"45882"
106,"spotify:track:4h4QlmocP3IuwYEj2j14p8","Nicky Youre, hey daisy","Sunroof","Thirty Knots/Columbia",43,101,36,"45015"
107,"spotify:track:3fvyqhNTjtobvYV8VYr5w0","Riaan Benadé","Spontaan","WM South Africa",95,105,97,"44919"
108,"spotify:track:2KLwPaRDOB87XOYAT2fgxh","Drake, 21 Savage, Travis Scott","Pussy & Millions (feat. Travis Scott)","OVO / Republic Records",5,132,10,"44881"
109,"spotify:track:7tJRECMBZbgGUh83C48NB0","Blaq Diamond, Big Zulu, Siya Ntuli","Qoma","Umuthi Othi Thi (Pty) Ltd",59,80,17,"44623"
110,"spotify:track:181RlW4FYWSzaV9xt8xUPQ","Riaan Benadé","Vat 'n Bietjie","WM South Africa",69,96,90,"44453"
