rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1x3Qb8np6S1UvpSLthwEJN","BLANCO, Sfera Ebbasta","MI FAI IMPAZZIRE","Universal Music Italia srL.",1,3,3,"4949680"
2,"spotify:track:01hEpx8jnOG4q7nDK14Rhi","sangiovanni","malibu","Universal Music Italia srL. (Sugar)",1,1,8,"4629203"
3,"spotify:track:6qdMhG7pRFi0csRlFGvLE4","Fedez, Achille Lauro, Orietta Berti","MILLE – feat. Orietta Berti","Columbia",2,2,4,"4206273"
4,"spotify:track:6Y3E68GAhdvbJramkIOKJK","Elettra Lamborghini","Pistolero","Universal Music Italia srL.",4,4,5,"3130361"
5,"spotify:track:4iMigesJsEKt8JczIwUrBO","Rocco Hunt, Ana Mena","Un bacio all'improvviso","RCA Records Label",5,5,5,"3078475"
6,"spotify:track:4pt5fDVTg5GhEvEtlz9dKk","Måneskin","I WANNA BE YOUR SLAVE","RCA Records Label",6,8,13,"2777462"
7,"spotify:track:3fxSSvnUS7ALxmhOckb7t6","Rkomi, Sfera Ebbasta, Junior K","NUOVO RANGE (con SFERA EBBASTA)","Universal Music Italia srL.",1,6,10,"2753159"
8,"spotify:track:6uS2uan3JwpHko4E8Bg0UR","Aka 7even","Loca","Columbia",2,7,8,"2522195"
9,"spotify:track:3Wrjm47oTz2sjIgck11l5e","Måneskin","Beggin'","RCA Records Label",9,18,7,"2453916"
10,"spotify:track:7xtDBQTR47nZwpBRu6pOdO","Rkomi, Irama, Shablo","LUNA PIENA (con IRAMA)","Universal Music Italia srL.",7,10,10,"2259994"
11,"spotify:track:38UoVEHcZ85EGBo6k79643","BLANCO","Notti In Bianco","Universal Music Italia srL.",11,11,26,"2156560"
12,"spotify:track:3cqu5fPwdsXZHIRpDeXPoh","Fred De Palma","Ti raggiungerò","WM Italy",7,9,17,"2097447"
13,"spotify:track:2opRyiaqpnQCH0jfCY9Wjd","Noemi, Carl Brave","MAKUMBA","Red Sap Srl",13,39,5,"2045313"
14,"spotify:track:43mGIsFZwISk1WWTcAK728","Rkomi","PARTIRE DA TE","Universal Music Italia srL.",4,12,10,"1919410"
15,"spotify:track:6VAdJCy8hFSxTNsxlBADSE","J-AX, Jake La Furia","Salsa","Columbia",14,14,7,"1884372"
16,"spotify:track:7BKGYx89QYgfdnpVo3zapq","Madame","MAREA","Universal Music Italia srL. (Sugar)",15,15,5,"1878842"
17,"spotify:track:5Wml9i3afqwcm8UNDD1GXw","Boomdabash, Baby K","Mohicani (feat. Baby K)","Universal Music Italia srL.",17,22,4,"1784551"
18,"spotify:track:776AftMmFFAWUIEAb3lHhw","Måneskin","ZITTI E BUONI","RCA Records Label",2,13,19,"1760637"
19,"spotify:track:43ic0un1f9Nak0ZCQgvKjY","Rvfv, Pablo Mas","Yo No Sé","NASTU MUSIC",15,16,16,"1626415"
20,"spotify:track:3H6wIwh1C3GVJI0LaWQF7P","Annalisa, Federico Rossi","Movimento lento (feat. Federico Rossi)","WM Italy",20,31,4,"1596192"
21,"spotify:track:4cG7HUWYHBV6R6tHn1gxrl","Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine","Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit","Ministry of Sound Recordings",11,19,20,"1536438"
22,"spotify:track:7wXb66O5ZZU77xtqNDH0gl","sangiovanni","lady","Universal Music Italia srL. (Sugar)",2,17,25,"1524710"
23,"spotify:track:2g7xewu0kXt7Uo3X8MBlgj","Shade","In un'ora","WM Italy",20,20,5,"1499790"
24,"spotify:track:71r3UlkV7sWvUYjas5paqi","Pinguini Tattici Nucleari","Scrivile Scemo","RCA Records Label",15,21,23,"1497867"
25,"spotify:track:56nvQibJaC1V84wVMqA3Ck","Tony Effe","Effe","Universal Music Italia srL.",18,27,5,"1458730"
26,"spotify:track:3WZ0y6ycgr5PpOeygirDvu","Irama","Melodia proibita","WM Italy",25,25,3,"1442663"
27,"spotify:track:34fqJK3MV1eToqwBm6vo33","Tancredi","Las Vegas","WM Italy",7,23,20,"1395542"
28,"spotify:track:6OYZvwKN8GaauTrJS1TuuH","Imanbek, Sean Paul, Sofía Reyes","Dancing On Dangerous","MITH",24,24,9,"1395147"
29,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",4,28,15,"1360231"
30,"spotify:track:1stFp5p3h2svKierTqfEN6","Takagi & Ketra, Giusy Ferreri","SHIMMY SHIMMY","Columbia",25,26,6,"1345909"
31,"spotify:track:2UbVnbE5FH6008mAm6Mmgw","OneRepublic","Run","Mosley Music/Interscope Records",30,30,9,"1332108"
32,"spotify:track:5YaskwnGDZFDRipaqzbwQx","ATB, Topic, A7S","Your Love (9PM)","Intercord",18,29,21,"1312419"
33,"spotify:track:6HVRRlc2sBlkcKEkhlsp86","Massimo Pericolo, Crookers","STUPIDO","Epic",16,32,15,"1260668"
34,"spotify:track:0pmtvLQaPHx6nqZmi2KDbr","Fred De Palma, Anitta","Un altro ballo (feat. Anitta)","WM Italy",34,44,2,"1162076"
35,"spotify:track:0xfMlIW8lS40qvpsUw1l0X","Kungs","Never Going Home","Universal Music Division Island Def Jam",35,46,4,"1146770"
36,"spotify:track:4rstEjIOddR5CuzzLv2bhS","Rkomi, Ernia, MACE","10 RAGAZZE (con ERNIA)","Universal Music Italia srL.",2,34,10,"1108539"
37,"spotify:track:1uXJYnCsXy2v50y0fDEEiV","MACE, BLANCO, Salmo","LA CANZONE NOSTRA ⟁ ︎(con BLANCO & SALMO)","Universal Music Italia srL.",1,35,26,"1103304"
38,"spotify:track:6KLjClrXcuXiX4PWGHtmDk","Gazzelle, Mara Sattei","Tuttecose","Artist First / Maciste Dischi",25,36,5,"1068005"
39,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",25,43,8,"1036973"
40,"spotify:track:1JAkXiY10vwLhSbcsiimrp","Tion Wayne, Russ Millions, Capo Plaza, Rondodasosa","Body (Remix) [feat. Capo Plaza & Rondodasosa]","Atlantic Records UK",24,42,10,"1025963"
41,"spotify:track:2pPO9YecZimmuVQfIzfV6U","Ofenbach, Lagique","Wasted Love (feat. Lagique)","Elektra France",35,37,13,"1022056"
42,"spotify:track:7MC4XR9M9amdmKQr2iDF7i","Justin Wellington, Small Jam","Iko Iko (My Bestie)","RCA Records Label",41,41,10,"1019273"
43,"spotify:track:6PQ88X9TkUIAUIZJHW2upE","Ed Sheeran","Bad Habits","Atlantic Records UK",43,47,2,"1013864"
44,"spotify:track:4ILtwYPIonCeRGCIiXAASp","Federico Rossi","Pesche","WM Italy",33,40,13,"1011739"
45,"spotify:track:3mYQaVTYv6suVMD1MjPBlR","Shiva, Paky","Fendi belt","Milano Ovest",19,33,4,"980985"
46,"spotify:track:3c1hhyuDTsP3hqRztpg2S5","BLANCO","Paraocchi","Universal Music Italia srL.",20,59,19,"916496"
47,"spotify:track:0siYMEsGrzzzlWLXK5zJfS","Joel Corry, RAYE, David Guetta","BED","Perfect Havoc / Asylum Records",31,48,12,"880138"
48,"spotify:track:3EyZw5sCXxOkE8EWsOIkB1","Il Pagante, Stash","Open Bar","Il Pagante",48,54,4,"876306"
49,"spotify:track:1feGbMzfkaybNk96cXcqnO","Dennis","0 passi","WM Italy",4,38,15,"874216"
50,"spotify:track:0k6Ru4EOidm7czaSvDjTX1","Marco Mengoni","Ma stasera","Epic",50,84,3,"815155"
51,"spotify:track:7ftzLN04T6FZkVDdqjEukH","sangiovanni","tutta la notte","Universal Music Italia srL. (Sugar)",4,45,21,"814858"
52,"spotify:track:63mdY4U0KvnbMkUEc7FHN8","ARIETE","L'ultima notte","Universal Music Italia srL.",52,71,10,"786676"
53,"spotify:track:6hf0RpxTbOprT5nnwzkk8e","J Balvin, Maria Becerra","Qué Más Pues?","Sueños Globales, LLC",53,66,3,"775959"
54,"spotify:track:2ijYyMdMODsg7Zdnyd3gju","Capo Plaza, Aya Nakamura","Panama (feat. Aya Nakamura)","WM Italy",31,51,3,"768672"
55,"spotify:track:67qxSUoyng1ohzvfyOyNWW","Colapesce, Dimartino","Musica leggerissima","Columbia",1,53,19,"765823"
56,"spotify:track:2iL0W5qi0ivZ9WRXbZ74cS","Martin Garrix, Bono, The Edge","We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song","Epic Amsterdam",55,60,7,"747242"
57,"spotify:track:5RwV8BvLfX5injfqYodke9","Rauw Alejandro","Todo De Ti","Sony Music Latin/Duars Entertainment",57,67,6,"720469"
58,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, GIVĒON","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",10,58,16,"712862"
59,"spotify:track:7HMz8o0m7ASQ3ImFPfhWTY","Måneskin","CORALINE","RCA Records Label",11,65,16,"709532"
60,"spotify:track:5zFglKYiknIxks8geR8rcL","Maroon 5, Megan Thee Stallion","Beautiful Mistakes (feat. Megan Thee Stallion)","Interscope Records*",45,50,15,"693652"
61,"spotify:track:7mWPjS3fX0ymPSrkDJrVaP","Aka 7even","Mi Manchi","Columbia",1,56,20,"692107"
62,"spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q","Majestic, Boney M.","Rasputin","NITRON music",40,49,11,"691183"
63,"spotify:track:0HyDNYQmQ3obfA81D3y9tG","Irama","La genesi del tuo colore","WM Italy",4,55,19,"689800"
64,"spotify:track:4DHDIdeayp8xvlyg22wREO","NATTI NATASHA, Becky G","Ram Pam Pam","Sony Music Latin",63,63,6,"650180"
65,"spotify:track:1eDC4NiUYgQSKpKDIvXxi4","Ernia, Pinguini Tattici Nucleari","Ferma A Guardare (feat. Pinguini Tattici Nucleari)","Universal Music Italia srL.",5,52,25,"647428"
66,"spotify:track:7FdUvDkaE24o3FPIWTvzv2","Imagine Dragons","Follow You","KIDinaKORNER/Interscope Records",38,68,14,"643775"
67,"spotify:track:3VvA1wSxukMLsvXoXtlwWx","Boza","Hecha Pa' Mi","Sony Music Latin",9,62,27,"624243"
68,"spotify:track:0eiF9S0zXS0uAUPzb0gP8i","Tony Effe, Lazza, Gazo","Ke Lo Ke (feat. Lazza & Gazo)","Universal Music Italia srL.",10,64,5,"621522"
