rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
189,"spotify:track:7g8YaUQABMal0zWe7a2ijz","Dalex, Rafa Pabön, KHEA, Sech, Feid, Cazzu, Lenny Tavárez","Pa Mí (Remix)","Rich Music/Ingrooves Records",1,198,99,"87270"
190,"spotify:track:6mm3K0yWp6uzfOMuipM9Zh","Piso 21","Tan Bonita","WM Mexico",79,169,29,"87171"
191,"spotify:track:3WLXf7K7mIGEBtFq41afce","Jerry Rivera","Amores Como el Nuestro","Sony Special Marketing",191,-1,2,"87094"
192,"spotify:track:4RJz8NfIe09gpKMiRUWKhJ","Maluma, Lenny Tavárez, Justin Quiles","Parce (feat. Justin Quiles)","Sony Music Latin",5,188,59,"86990"
193,"spotify:track:588fZDQv1c7F3iP68Pp3My","Roberto Roena Y Su Apollo Sound","Como Te Hago Entender","Musical Productions",107,107,5,"86944"
194,"spotify:track:38RIEav39FGi86jppxO0du","Bad Bunny, Sech","Ignorantes","Rimas Entertainment LLC",2,-1,80,"86862"
195,"spotify:track:2WD9ggmpZE7Wodh3qVVCgg","Soda Stereo","De Música Ligera","Sony Special Products",172,194,23,"86680"
196,"spotify:track:1p7m9H4H8s0Y7SgRm7j3ED","Andrés Calamaro","Flaca","DRO/EastWest Spain",138,196,172,"86665"
197,"spotify:track:6G4U9avyBNEfP0fAIduev3","Aventura, Don Omar","Ella Y Yo - Featuring Don Omar","Premium Latin Music",174,-1,10,"86579"
198,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",127,-1,21,"86443"
199,"spotify:track:7Crx42VpbY4h4qrz2q9DuH","Farruko","La Tóxica","Sony Music Latin",4,197,63,"86286"
200,"spotify:track:0cS0bJ0oBylj3TFtz6x9pC","Morat, Danna Paola","Idiota","Universal Music Spain S.L.",40,189,18,"86172"
