rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
108,"spotify:track:1XUf5lpeTQbrohZWdx6Sbz","Davido, Sunday Service Choir","Stand Strong (feat. Sunday Service Choir)","Columbia",3,99,23,"27673"
109,"spotify:track:5l6ZVWdSdot8a1FjPBiXvz","Adekunle Gold","5 Star","Afro Urban Records",49,104,13,"27277"
110,"spotify:track:3z4CGd63tpUn9a6oQSG0CI","Dave, Burna Boy","Location (feat. Burna Boy)","Neighbourhood [GB] / Dave",48,103,35,"26973"
111,"spotify:track:6mM8gri8d2abYYomjOV4ut","Roddy Ricch","Stop Breathing","Atlantic Records",79,79,2,"26876"
112,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",26,113,7,"26728"
113,"spotify:track:60VJ0CZ1bV5Ln2n3H1Xo1F","Lojay","LEADER!","KORATORI",43,90,4,"26686"
114,"spotify:track:3K6KPwVBpyzje1UaHh5N1i","S high, Zinoleesky, Victony","Hypnotize","Dvpper Digital",68,68,2,"26619"
115,"spotify:track:53ghSWYpqUBsopl2R0D5xl","Black Sherif","Toxic Love City","Blacko Management / EMPIRE",115,-1,1,"26322"
116,"spotify:track:10m1yYuud3w7bb43srjbWi","Ruger","Snapchat","Promised Land Recordings",15,114,35,"26106"
117,"spotify:track:5t5oLw5209yleTnJSqM097","BNXN","Bad Since '97","T.Y.E. / EMPIRE",14,95,8,"26079"
118,"spotify:track:4cL6ewTK0FjZKtbajym8zp","Reminisce, BNXN, D Smoke","Hustle","LESROSESROUGE ENTERTAINMENT",20,109,34,"25665"
119,"spotify:track:3ovSaVUTDOtxfDw5xh9qJ4","Falz, Chike","Knee Down","B.A.H.D Guys Entertainment Limited",90,123,14,"25447"
120,"spotify:track:2eVbbAnigX4QdvpceP0VU6","DJ Tunez, Wande Coal, Victony","Bad Girl (feat. Wande Coal & Victony)","BT Music Worldwide",21,108,11,"25239"
121,"spotify:track:6SLhDU3r8FLmESRyWZypjT","Young Jonn","Dada","Chocolate City Music",17,145,30,"25020"
122,"spotify:track:2dG1cXdbEPKEOyUq96R9xz","Fireboy DML, Rema","Compromise (feat. Rema)","YBNL Nation / EMPIRE",11,133,10,"24906"
123,"spotify:track:0H4md8xcDjgFyQRmdHPqQn","Seyi Vibez","Bullion Van","Vibez Inc / Dvpper Music",123,-1,1,"24840"
124,"spotify:track:78QR3Wp35dqAhFEc2qAGjE","Lil Baby, Gunna","Drip Too Hard (Lil Baby & Gunna)","Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",75,112,13,"24321"
125,"spotify:track:4lDghGd035xrzGp6Yec2j1","Skiibii, Davido","Baddest Boy - Remix","More Grace Entertainment, Distributed by Dvpper",3,121,35,"24256"
126,"spotify:track:1Dv2XVRbsgjdvGVqFSVYUE","M.I. Abaga, Wande Coal","The Love Song (feat. Wande Coal)","Chocolate City Music",21,126,8,"24062"
127,"spotify:track:2bJojWEUKvijZaSo7Jfh0W","Black Sherif","We Up","Blacko Management / EMPIRE",127,-1,1,"24018"
128,"spotify:track:3LtpKP5abr2qqjunvjlX5i","Central Cee","Doja","Central Cee",57,117,12,"23892"
129,"spotify:track:6bZ9RWQGYr7XKQhxs9XT6a","BNXN","Kilometer","T.Y.E. / EMPIRE",6,122,35,"23692"
130,"spotify:track:3Xfwu3xtPqmJ4nM4jpBm8O","Tems","Damages","Leading Vibe Ltd",87,120,35,"23642"
131,"spotify:track:7jj23ZxaXc1A0CW8yRkqJD","Tekno","PAY","Cartel/PWRS",131,-1,1,"23585"
132,"spotify:track:4NG1th0egF9bbKOGUKvca7","Mohbad","Backside","Marlian Music",31,134,35,"23518"
133,"spotify:track:3ketN3dth18vSJ1T3HIztN","Burna Boy, Wizkid","B. D’OR (feat. Wizkid)","Spaceship/ Bad Habit/Atlantic Records",13,128,35,"23326"
134,"spotify:track:1iM0xHlmZPGZ8gdbPXtUgN","T.I BLAZE, Skiibii","Kilo","Dvpper Music",42,129,24,"23081"
