rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
97,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,111,42,"708472"
98,"spotify:track:76nqCfJOcFFWBJN32PAksn","Ava Max","Kings & Queens","Atlantic Records",98,129,4,"708068"
99,"spotify:track:4IrH8L9pkMVSeA6uJZjtT8","Haftbefehl, Bazzazian","RADW","Urban",26,26,2,"705940"
100,"spotify:track:0K5vPCPPPQYzrKHc17qB1I","Dhurata Dora, Azet","Lass los","Epic/Ilir Balija",7,68,6,"703860"
101,"spotify:track:0Dlcu2fgHklOnajVu2dUNU","Capital Bra, Samra","Tilidin","Urban",1,95,42,"702100"
102,"spotify:track:0Vl4eICpXMjtiK0RhdaWov","Samra, ELIF","Zu Ende","Urban",3,93,11,"696320"
103,"spotify:track:6Ajx6tMDxWCMMvS19hkUdr","Farid Bang","quavo","Farid Bang II/WM Germany",18,18,2,"688715"
104,"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","blackbear","hot girl bummer","Alamo",15,100,30,"677061"
105,"spotify:track:24UgOPKL5S1vwzLwUtPsz7","FOURTY","WEISSER RAUCH","Life Is Pain",105,112,3,"675343"
106,"spotify:track:0bMbDctzMmTyK2j74j3nF3","Alan Walker, Ava Max","Alone, Pt. II","Kreatell Music",63,86,15,"675337"
107,"spotify:track:1jaTQ3nqY3oAAYyCTbIvnM","Jack Harlow","WHATS POPPIN","Generation Now/Atlantic",107,127,6,"673201"
108,"spotify:track:7k4t7uLgtOxPwTpFmtJNTY","KAROL G, Nicki Minaj","Tusa","TUSA - Karol G & Nicki Minaj",71,99,15,"659095"
109,"spotify:track:3jCMdvc8bFOKChETbFV9Zc","Lena, Nico Santos","Better","Polydor",28,118,34,"656054"
110,"spotify:track:6IwbgA2lca6IZZvo2wCL6Q","KASIMIR1441","KK","Bis Es Klappt Records",59,92,6,"655398"
111,"spotify:track:0lSZh5W0wDeurkGzLYY6hf","NAV, Gunna, Travis Scott","Turks (feat. Travis Scott)","Republic Records",106,106,2,"654942"
112,"spotify:track:0vEXgD2oSs5K7fSuk966n6","Kianush, PA Sports","CASINO ROYAL","Life Is Pain",21,151,18,"654805"
113,"spotify:track:2rWnTpXD0jq5lymyg4xIKQ","Jamule","Ich hol dich ab","Life Is Pain",3,103,13,"654454"
114,"spotify:track:3uhTOxvu2h2YEm0uPNF2vi","Apache 207","Doch in der Nacht","Four Music Local",6,105,24,"653607"
115,"spotify:track:1GHgDIODujliWFayEhHx1n","Fynn Kliemann","Alles was ich hab","twoFinger Records",36,102,7,"652987"
116,"spotify:track:36J10AwMabBYxgNrV2S8gd","Dardan","6AM.........","Hypnotize Entertainment",4,88,13,"651010"
117,"spotify:track:1lGHa2pwYzxQHFBUynhLtO","DaBaby","FIND MY WAY","South Coast Music Group/Interscope Records",117,-1,1,"650800"
118,"spotify:track:3Zigq1lfHmFRlyoRrh9k2s","Apache 207","Kein Problem","Four Music Local",17,108,48,"638433"
119,"spotify:track:0Asp5uOfJGhbFWJnxM8ODz","Yung Kafa & Kücük Efendi","Audermars 69","AEIOU",119,-1,1,"636146"
120,"spotify:track:6LcauUZjF1eXQrgqMUecHX","Tyga","Ayy Macarena","Columbia/Last Kings Records",9,121,21,"632494"
121,"spotify:track:0ui2kVwPZKHaZxGhdIzBrp","Nimo","Nur wegen dir","385ideal",13,107,8,"631358"
122,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","Interscope Records*",28,109,29,"626744"
123,"spotify:track:57e7dy1hUpKVg1aUvKkx5R","Samra","6 Uhr","Urban",5,73,5,"621789"
