rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1yoMvmasuxZfqHEipJhRbp","Maluma","Hawái","Sony Music Latin",1,1,10,"2962804"
2,"spotify:track:0JAZWvvqttGFm4UMDsPQXC","Ozuna, Camilo","Despeinada","Aura Music Corp.",2,3,5,"2800581"
3,"spotify:track:35UUpTmrcFXNIVIN26ujXl","Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko","Relación - Remix","Rich Music",2,2,5,"2628703"
4,"spotify:track:5y7DaS3jAc9eZzcSOoUIwU","Ozuna, J Balvin, Chencho Corleone","Una Locura","Aura Music Corp.",4,5,5,"2220410"
5,"spotify:track:6C6mUonH6MNdSg5pw7kOc9","KHEA, Lenny Santos","Ayer Me Llamó Mi Ex","Young Flex - Khea",1,4,7,"2191264"
6,"spotify:track:55C0glNSvxJDCfgHwiCZb1","Ptazeta, Juacko","Mami","Real Key Music",5,6,10,"2146787"
7,"spotify:track:3Iql4v0ISjuMqj7MNkuWJX","LA YOUNG","Como Estrellas","La Young",7,9,12,"2044330"
8,"spotify:track:4HYDUMY0xSpeBr0AMY9cUz","Jay Wheeler, DJ Nelson, Myke Towers","La Curiosidad","Linked Music / Dynamic Records / EMPIRE",2,8,17,"1972712"
9,"spotify:track:4pXW6ZAHBz7ODXTRKklWrM","Trueno, Nicki Nicole, Bizarrap, Taiu, tatool","Mamichula - con Nicki Nicole","NEUEN",1,7,11,"1929982"
10,"spotify:track:3OL6rKs4tpYCdPZ9SEx50p","Aitana, Sebastian Yatra","Corazón Sin Vida","Universal Music Spain S.L.",10,-1,1,"1823275"
11,"spotify:track:4ZRrLHqzhGRXYj2qcB4s5S","Rauw Alejandro, Camilo","Tattoo - Remix with Camilo","Sony Music Latin/Duars Entertainment",4,10,13,"1704265"
12,"spotify:track:2bgcUk2A3jjKbCJ7KPquTi","Wisin, Myke Towers, Los Legendarios","Mi Niña","La Base Music Group/ WK Records",12,43,2,"1651192"
13,"spotify:track:3kml9ZdpT7UYk1ugkjqOzt","Daddy Yankee, Anuel AA, Kendo Kaponi","Don Don","El Cartel Records",11,11,4,"1628617"
14,"spotify:track:3ThrfRAmijYU098H9q9tAs","Rauw Alejandro","Enchule","Sony Music Latin/Duars Entertainment",14,27,3,"1535924"
15,"spotify:track:1eWWdO6oIBdJT8SCXaYCYV","Marmi, Aitana","Tu Foto Del DNI","Universal Music Spain S.L.",11,12,4,"1532470"
16,"spotify:track:15OjBeqNX3bShsGYQbteRv","Farruko","La Tóxica","Sony Music Latin",16,17,10,"1502764"
17,"spotify:track:5Jm4w8jmPEBTLjI9vH4fXo","Ozuna","Caramelo","Aura Music Corp.",1,13,17,"1442517"
18,"spotify:track:7x4ASXYEKfQBCewcZhK776","KAROL G","Ay, DiOs Mío!","UMLE - Latino",5,14,13,"1377596"
19,"spotify:track:5DoLhdU27owX1NMrKLUbUl","Super Yei, Sammy, Jone Quest, Towy, Osquel, Beltito, Sammy & Falsetto","Lean","Superiority",16,16,11,"1374521"
20,"spotify:track:73nAK3HgQK8dak83Y2WQ8F","Camilo","Vida de Rico","Sony Music Latin",20,49,2,"1318199"
21,"spotify:track:6KS9MjBx9PnEetb0XUqGv6","Rvfv, Lola Indigo","Trendy","NASTU MUSIC",9,15,11,"1277142"
22,"spotify:track:6Vi8rWobVwobca5fR5WHVG","JC Reyes, Camin","34 Amor y Mafia","JC Reyes",22,24,7,"1267065"
