rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",1,1,23,"420643"
2,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","Interscope Records*",1,3,16,"342996"
3,"spotify:track:3CYH422oy1cZNoo0GTG1TK","Red Velvet","Psycho","SM Entertainment",2,2,3,"325591"
4,"spotify:track:696DnlkuDOXcMAnKlTgXXK","Arizona Zervas","ROXANNE","Arizona Zervas",2,4,10,"310001"
5,"spotify:track:41L3O37CECZt3N7ziG2z7l","Justin Bieber","Yummy","RBMG/Def Jam",5,-1,1,"302106"
6,"spotify:track:21jGcNKet2qwijlDFuPiPb","Post Malone","Circles","Republic Records",2,5,19,"270350"
7,"spotify:track:4TnjEaWOeW0eKTKIEvJyCa","Trevor Daniel","Falling","Alamo",7,7,7,"258056"
8,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,6,29,"251600"
9,"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Dua Lipa","Don't Start Now","Warner Records",7,8,10,"249240"
10,"spotify:track:5ACkb3CikcSZPF0h7FSZAp","Lauv, LANY","Mean It","Lauv",3,10,9,"224033"
11,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",4,9,51,"219962"
12,"spotify:track:3ZCTVFBt2Brf31RLEnCkWJ","Billie Eilish","everything i wanted","Darkroom/Interscope Records",4,11,8,"206544"
13,"spotify:track:3yOlyBJuViE2YSGn3nVE1K","Camila Cabello, DaBaby","My Oh My (feat. DaBaby)","Syco Music/Epic",13,16,5,"198167"
14,"spotify:track:0sf12qNH5qcw8qpgymFOqD","The Weeknd","Blinding Lights","Republic Records",14,14,6,"194743"
15,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",12,12,8,"179898"
16,"spotify:track:5cU1O9P0EDA0rPkPDykhIm","Eric Chou","怎麼了","Sony Music Entertainment",6,13,52,"174576"
17,"spotify:track:2gMXnyrvIjhVBUZwvLZDMP","Lewis Capaldi","Before You Go","Vertigo Berlin",17,20,7,"173000"
18,"spotify:track:1HfMVBKM75vxSfsQ5VefZ5","Selena Gomez","Lose You To Love Me","Interscope Records",2,18,12,"169638"
19,"spotify:track:7aiClxsDWFRQ0Kzk5KI5ku","blackbear","hot girl bummer","Alamo",10,19,19,"164976"
20,"spotify:track:56wVfJKtnwlSZtC4NVgIrf","Jay Chou, Ashin Chen","說好不哭","Universal Music Taiwan (JVR)",1,21,17,"161620"
21,"spotify:track:70eFcWOvlMObDhURTqT4Fv","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","Atlantic Records UK",2,15,28,"159551"
22,"spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y","Sam Smith","How Do You Sleep?","PLG - Capitol",2,22,25,"150828"
23,"spotify:track:3jjujdWJ72nww5eGnfs2E7","Harry Styles","Adore You","Columbia",16,24,5,"146483"
24,"spotify:track:6fKt3psOTjPWb92GfS9jX1","Lauv","Feelings","Lauv",7,25,16,"144484"
25,"spotify:track:2wrJq5XKLnmhRXHIAf9xBa","Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)","Warner Records Nashville",5,23,14,"138432"
26,"spotify:track:3Z0oQ8r78OUaHvGPiDBR3W","Idina Menzel, AURORA","Into the Unknown","Walt Disney Records",7,17,7,"132863"
27,"spotify:track:4vUmTMuQqjdnvlZmAH61Qk","Ed Sheeran, Camila Cabello, Cardi B","South of the Border (feat. Camila Cabello & Cardi B)","Atlantic Records UK",10,29,26,"132034"
28,"spotify:track:3vUc9WQpoca15404jNdzf9","Lauv","Changes","Lauv",28,-1,1,"131626"
29,"spotify:track:2W4yABdLc4Jnds67Poi5Nl","Ant Saunders","Yellow Hearts","Arista Records",29,33,9,"130736"
30,"spotify:track:1iQDltZqI7BXnHrFy4Qo1k","SHAED, ZAYN","Trampoline (with ZAYN)","Photo Finish Records",13,35,15,"130325"
31,"spotify:track:2Fxmhks0bxGSBdJ92vM42m","Billie Eilish","bad guy","Darkroom/Interscope Records",2,26,41,"128933"
32,"spotify:track:5DqdesEfbRyOlSS3Tf6c29","Ali Gatie","It's You","Warner Records",8,27,30,"128723"
33,"spotify:track:0hVXuCcriWRGvwMV1r5Yn9","Ed Sheeran & Justin Bieber, Justin Bieber","I Don't Care (with Justin Bieber)","Atlantic Records UK",1,28,35,"128425"
34,"spotify:track:4a6q8CR2hzLk2plDkSxkfD","Bazzi","I.F.L.Y.","iamcosmic",5,32,25,"123485"
35,"spotify:track:3Dv1eDb0MEgF93GpLXlucZ","Doja Cat","Say So","Kemosabe Records/RCA Records",35,68,2,"122694"
36,"spotify:track:2gug6MRv4xQFYi9LA3PJCS","Eric Chou","你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲","Sony Music Entertainment",23,34,159,"120663"
37,"spotify:track:2kJwzbxV2ppxnQoYw4GLBZ","JP Saxe, Julia Michaels","If the World Was Ending (feat. Julia Michaels)","Arista Records",37,44,9,"120053"
38,"spotify:track:3VyjsVV24RmBIbWJAeUJNu","Don Toliver","No Idea","We Run It Ent./Cactus Jack/Atlantic",38,39,5,"119509"
39,"spotify:track:5KawlOMHjWeUjQtnuRs22c","BTS, Halsey","Boy With Luv (feat. Halsey)","BIGHIT MUSIC",1,30,39,"118888"
40,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,31,64,"115680"
41,"spotify:track:0bMbDctzMmTyK2j74j3nF3","Alan Walker, Ava Max","Alone, Pt. II","Kreatell Music",41,109,2,"114124"
42,"spotify:track:6iNH42q8haGYDYGhKK6XiJ","A-Lin","有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲","Sony Music Entertainment",1,37,58,"113299"
43,"spotify:track:1ivCIgrYZyE0BvItL4Z8lk","Jay Chou","告白氣球","Universal Music Taiwan (JVR)",29,40,159,"112121"
44,"spotify:track:5kZDxLcbqglZ2yYXg4Mkjc","JJ Lin","那些你很冒險的夢","就是俊傑音樂股份有限公司",17,38,126,"106614"
45,"spotify:track:6kabSi7XCHHGThNme6J2tL","Eric Chou","如果雨之後","Sony Music Entertainment",21,41,109,"104890"
46,"spotify:track:0nbXyq5TXYPCO7pr3N8S4I","Roddy Ricch","The Box","Atlantic Records",46,136,2,"104406"
47,"spotify:track:2BgEsaKNfHUdlh97KmvFyo","Anne-Marie","2002","Atlantic Records UK",6,43,90,"102448"
48,"spotify:track:24nK8tW7Pt3Inh2utttuoG","MAMAMOO","HIP","RBW, Inc",17,47,8,"101921"
49,"spotify:track:6H568VnZWTitazwFTwVSd8","Lauv, Troye Sivan","i'm so tired...","Lauv",3,45,50,"101521"
50,"spotify:track:314ZkcV7oLWG8yWE7LABvH","BTS, Lauv","Make It Right (feat. Lauv)","BIGHIT MUSIC",9,50,12,"96413"
51,"spotify:track:0TMGV2zMZXOILVtQLtkI3G","Why Don't We","What Am I","Atlantic Records",17,36,20,"95307"
52,"spotify:track:2P91MQbaiQOfbiz9VqhqKQ","Lauv","I Like Me Better","Lauv",15,46,137,"94064"
53,"spotify:track:1ZMiCix7XSAbfAJlEZWMCp","Harry Styles","Falling","Columbia",42,42,4,"87570"
54,"spotify:track:18uwL0vNUanqZH0ro2QcOP","Jeremy Zucker","comethru","Republic Records",31,49,57,"87233"
55,"spotify:track:6ocbgoVGwYJhOv1GgI9NsF","Ariana Grande","7 rings","Republic Records",1,48,51,"86702"
56,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",2,52,159,"85057"
