rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
42,"spotify:track:1IDFcb3cjkj2dhv3UaxX9b","Danny Romero, Lérica","De Tranquilote","24/7 Management & The Nova Management",5,43,27,"685352"
43,"spotify:track:2TH65lNHgvLxCKXM3apjxI","Bad Bunny, Tainy","Callaita","Rimas Entertainment LLC",1,36,32,"676298"
44,"spotify:track:41L3O37CECZt3N7ziG2z7l","Justin Bieber","Yummy","RBMG/Def Jam",44,-1,1,"667555"
45,"spotify:track:6uW0PIRcyZLvkoonm763xD","Don Patricio, Cruz Cafuné","Contando Lunares (feat. Cruz Cafuné)","WM Spain",1,40,49,"658197"
46,"spotify:track:4bTZeO72FwMa6wKOiqoynL","Sech, Ozuna, Anuel AA, Darell, Nicky Jam","Otro Trago - Remix","Rich Music",2,41,24,"658061"
47,"spotify:track:4TnjEaWOeW0eKTKIEvJyCa","Trevor Daniel","Falling","Alamo",47,53,6,"633976"
48,"spotify:track:4R8BJggjosTswLxtkw8V7P","JHAYCO, J Balvin, Bad Bunny","No Me Conoce - Remix","N&E Entertainment LLC",4,44,34,"632276"
49,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",3,51,29,"621558"
50,"spotify:track:1aUGxXCz9QimNkKeiJtzZ7","KEVVO, Farruko, Chencho Corleone, Arcángel, Darell, Ñengo Flow, Brytiago, Myke Towers","105 F Remix","Una Vision Quintana",30,48,17,"617170"
51,"spotify:track:1G2CAJeP7rCwOZjlSJ0Zw3","Major Lazer, J Balvin, El Alfa","Que Calor","Mad Decent",20,47,17,"589935"
52,"spotify:track:2qG5sZ7Si6sdK74qLxedYM","ROSALÍA, J Balvin, El Guincho","Con Altura","Columbia",1,42,42,"584935"
53,"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Dua Lipa","Don't Start Now","Warner Records",41,61,10,"561989"
54,"spotify:track:1nocRtwyNPVtGcIJqfgdzZ","Camilo, Pedro Capó","Tutu","Sony Music Latin",8,54,22,"557796"
55,"spotify:track:2V4hc5gplg7EXlrRUvD4rp","Morat, Aitana","Presiento","Universal Music Spain S.L.",16,58,39,"556782"
56,"spotify:track:6Aqeqb9rVNA1U6zuuxczQZ","Jesp7Tearz","Ella No Quiere Rose","Slime Krew Ent.",55,55,7,"537031"
57,"spotify:track:4z6wo6PJG4Fve45OXK6D9m","Arcángel, Bad Bunny","Infeliz","Rimas Entertainment LLC.",57,59,3,"529989"
58,"spotify:track:57kdZIOAaolxAjB67d2yU3","Duki","Goteo","SSJ Records / DALE PLAY Records",3,50,22,"521264"
59,"spotify:track:5zsvrbPy4w9nz067ViWprz","Antonio José","Me Equivocaré","Universal Music Spain S.L.",42,64,15,"519620"
60,"spotify:track:6RyaV7owmVU6fzEPE17sF1","Daddy Yankee","Que Tire Pa Lante","UME - Global Clearing House",22,57,12,"506163"
61,"spotify:track:71M1szVbVYZM5M6QlIm6aC","Beret, Pablo Alborán","Sueño (con Pablo Alborán)","WM Spain",25,67,11,"492173"
62,"spotify:track:3aSZoM8ZylbB0xCBkGpNTg","Bryant Myers","LowKey","eOne Music",60,60,4,"473086"
63,"spotify:track:4piZ5m1vZGDkfyHga5U97m","Bad Gyal","Hookah","Bad Gyal Aftercluv/Interscope",47,62,25,"470579"
64,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",6,56,28,"468869"
65,"spotify:track:3iVwzH29gquHzkrZuy3M4w","Beret","Me vas a ver","WM Spain",9,75,16,"441398"
66,"spotify:track:5e50NiIlOc2YJIftHzoehd","Becky G","MALA SANTA","Kemosabe Records/RCA Records/Sony Music Latin",66,68,13,"439299"
67,"spotify:track:7kcSKOl5rR4zGxFNYhkeRX","David Bisbal, Juan Magán","Bésame","Universal Music Spain S.L.",24,73,27,"437428"
68,"spotify:track:2Fxmhks0bxGSBdJ92vM42m","Billie Eilish","bad guy","Darkroom/Interscope Records",23,72,41,"436586"
69,"spotify:track:2QJcrJNa4KGxQ6bw0MH3Zx","Aitana","Con La Miel En Los Labios","Universal Music Spain S.L.",12,88,32,"436505"
70,"spotify:track:1KdwnsWOvhM53vezy5ROuf","C. Tangana, Paloma Mami","No Te Debí Besar","Sony Music Entertainment",5,70,17,"435787"
71,"spotify:track:6Nqi1fWKYXrVXmF3RtQbSf","Aitana, Lola Indigo","Me Quedo","Universal Music Spain S.L.",9,69,31,"435751"
72,"spotify:track:4t9a07PAghtQMRAIP9FQ7Z","Lunay, Daddy Yankee, Bad Bunny","Soltera (Remix)","round2media - LaFamilia",1,63,35,"433234"
73,"spotify:track:5QXQy0f2q8wJNpPwJtjifx","DJ Snake, J Balvin, Ozuna, Nicky Jam, NATTI NATASHA, Darell, Sech","Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam, Natti Natasha, Darell & Sech) - REMIX","DJ Snake Music Productions Limited/Geffen Records",73,143,2,"426386"
74,"spotify:track:2F75mXaavRl0hm3rtM15cq","Dani Fernández","Disparos","WM Spain",74,82,26,"425510"
75,"spotify:track:06ovTE7S3xHfpqxNZxVfSn","Beret","Me llama","WM Spain",18,80,37,"422151"
76,"spotify:track:0mcBgVRVsvESTkEyVHt7Ue","Darell","No Vuelvas Más","Sony Music Latin",62,76,5,"421085"
77,"spotify:track:7h0d2h0fUmzbs7zeFigJPn","Travis Scott, ROSALÍA, Lil Baby","HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","Cactus Jack/Epic",33,33,2,"418636"
78,"spotify:track:3DfUO7e24abpbIreUpUK4B","Nil Moliner","Soldadito de Hierro","WM Spain",48,84,36,"417440"
79,"spotify:track:5w9c2J52mkdntKOmRLeM2m","Daddy Yankee, Snow","Con Calma","Craft Latino",1,66,50,"413954"
80,"spotify:track:0cDumxvNKhydP1Cmon2S6E","Dvicio, Reik, ChocQuibTown","DOSIS","Sony Music Entertainment",80,89,9,"409722"
81,"spotify:track:3ZCTVFBt2Brf31RLEnCkWJ","Billie Eilish","everything i wanted","Darkroom/Interscope Records",24,92,8,"406484"
82,"spotify:track:5iwz1NiezX7WWjnCgY5TH4","Pedro Capó, Farruko","Calma - Remix","Sony Music Latin",2,65,59,"403101"
83,"spotify:track:7sKDftgGirHWTVFMtJoDoh","Aya Nakamura","Djadja","Rec. 118",32,74,17,"391726"
84,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",65,87,35,"390508"
85,"spotify:track:70zg99pT51vB4wlMS7e4q7","Myke Towers, Maluma, Farruko","La Playa - Remix","2019 Casablanca Records & One World Music | Distributed by GLAD Empire",85,-1,1,"388681"
86,"spotify:track:0i9oiUkWOgvtnjkr0fa3XN","Haze, Myke Towers","Piensan","2019 Casablanca Records & One World Music | Distributed by GLAD Empire",29,79,17,"387334"
87,"spotify:track:27qRmG3zOWPvMYUkpPdQ1g","Bryant Myers, Anuel AA","Gan-Ga - Remix","eOne Music",15,71,8,"386940"
88,"spotify:track:6LcauUZjF1eXQrgqMUecHX","Tyga","Ayy Macarena","Columbia/Last Kings Records",32,77,8,"382800"
89,"spotify:track:2B94bbI1a4LyBpK1439oP7","Noriel, Myke Towers, Rauw Alejandro, Almighty","Cuerpo en Venta","Rimas Entertainment LLC",26,83,21,"378374"
90,"spotify:track:21jGcNKet2qwijlDFuPiPb","Post Malone","Circles","Republic Records",79,99,19,"374193"
91,"spotify:track:0hVXuCcriWRGvwMV1r5Yn9","Ed Sheeran & Justin Bieber, Justin Bieber","I Don't Care (with Justin Bieber)","Atlantic Records UK",18,96,35,"372900"
92,"spotify:track:7fTsw0IKbbPDN19keS32tF","JHAYCO","Easy","N&E Entertainment LLC",13,78,22,"370431"
93,"spotify:track:3mN2DtljBhnrIpc3Nu2pJ8","Lalo Ebratt, Sebastian Yatra, Yera, Trapical Minds","Déjate Querer","Universal Music Spain S.L.",15,91,45,"367533"
94,"spotify:track:7754vHc34U2wQMIJFWRhVK","$kyhook, Morad","A Escondidas","Helsinkipro",20,86,23,"364898"
95,"spotify:track:7IzbHY75UhGztauT7U5eKb","Lola Indigo, Don Patricio","Lola Bunny","Universal Music Spain S.L.",4,85,24,"360838"
96,"spotify:track:5o2M4yHxo9kyNLdgihFeV1","Beret","Lo siento","WM Spain",10,103,96,"354584"
